mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
MethodNameMutator_0,1,499,0,0,1,1,1,2,726
MethodNameMutator_1,5,499,0,0,1,1,1,2,726
MethodNameMutator_5,9,499,0,0,1,1,1,2,726
org.mudebug.prapr.mutators.ArgumentsListMutator_0,13,499,0,0,1,1,1,2,726
org.mudebug.prapr.mutators.ArgumentsListMutator_2,17,499,0,0,1,1,1,2,726
org.mudebug.prapr.mutators.ArgumentsListMutator_3,21,499,0,0,1,1,1,2,726
org.mudebug.prapr.mutators.ArgumentsListMutator_6,25,499,0,0,1,1,1,2,726
org.mudebug.prapr.mutators.ArgumentsListMutator_7,29,499,0,0,1,1,1,2,726
org.mudebug.prapr.mutators.ArgumentsListMutator_8,33,499,0,0,1,1,1,2,726
org.mudebug.prapr.mutators.MethodNameMutator_0,37,499,0,0,1,1,1,0,726
org.mudebug.prapr.mutators.MethodNameMutator_1,39,499,0,0,1,1,1,2,726
org.mudebug.prapr.mutators.MethodNameMutator_2,43,499,0,0,1,1,1,2,726
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,47,499,0,0,1,1,1,2,726
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,51,499,0,0,1,1,1,0,726
org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator,53,499,0,0,1,1,1,2,726
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,57,499,0,0,1,1,1,2,726
org.mudebug.prapr.mutators.LocalNameMutator_0,61,500,1,0,1,1,1,5,752
org.mudebug.prapr.mutators.LocalNameMutator_0,70,500,1,0,1,1,1,2,760
org.mudebug.prapr.mutators.LocalNameMutator_0,74,500,1,0,1,1,1,2,779
org.mudebug.prapr.mutators.LocalNameMutator_0,78,500,1,0,1,1,1,2,779
org.mudebug.prapr.mutators.LocalNameMutator_1,84,500,1,0,1,1,1,2,760
org.mudebug.prapr.mutators.LocalNameMutator_2,89,500,1,0,1,1,1,0,760
org.mudebug.prapr.mutators.MethodNameMutator_0,91,500,1,0,1,1,1,4,755
org.mudebug.prapr.mutators.MethodNameMutator_0,97,500,1,0,1,1,1,4,756
org.mudebug.prapr.mutators.MethodNameMutator_0,103,500,1,0,1,1,1,2,757
org.mudebug.prapr.mutators.MethodNameMutator_0,107,500,1,0,1,1,1,2,760
org.mudebug.prapr.mutators.MethodNameMutator_1,111,500,1,0,1,1,1,5,755
org.mudebug.prapr.mutators.MethodNameMutator_1,118,500,1,0,1,1,1,5,756
org.mudebug.prapr.mutators.MethodNameMutator_2,125,500,1,0,1,1,1,5,755
org.mudebug.prapr.mutators.MethodNameMutator_2,132,500,1,0,1,1,1,5,756
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,139,500,1,0,1,1,1,0,747
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,141,500,1,0,1,1,1,0,753
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,143,500,1,0,1,1,1,0,755
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,145,500,1,0,1,1,1,0,756
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,147,500,1,0,1,1,1,8,747
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,157,500,1,0,1,1,1,5,753
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,164,500,1,0,1,1,1,5,755
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,171,500,1,0,1,1,1,5,756
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,178,500,1,0,1,1,1,2,757
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,182,500,1,0,1,1,1,2,760
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,186,500,1,0,1,1,1,6,753
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,194,500,1,0,1,1,1,5,755
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,201,500,1,0,1,1,1,5,756
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,208,500,1,0,1,1,1,5,757
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,215,500,1,0,1,1,1,5,760
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,222,500,1,0,1,1,1,0,747
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,224,500,1,0,1,1,1,0,753
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,226,500,1,0,1,1,1,0,755
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,228,500,1,0,1,1,1,0,756
org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,230,500,1,0,1,1,1,6,753
org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,238,500,1,0,1,1,1,9,752
org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,249,500,1,0,1,1,1,9,754
org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,260,500,1,0,1,1,1,0,779
org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,262,500,1,0,1,1,1,9,754
org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,273,500,1,0,1,1,1,9,752
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,284,500,1,0,1,1,1,1,745
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,287,500,1,0,1,1,1,0,746
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,289,500,1,0,1,1,1,4,752
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,295,500,1,0,1,1,1,5,754
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,302,500,1,0,1,1,1,15,742
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,319,500,1,0,1,1,1,6,750
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,327,500,1,0,1,1,1,6,750
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,335,500,1,0,1,1,1,5,752
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,342,500,1,0,1,1,1,5,754
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,349,500,1,0,1,1,1,5,757
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,356,500,1,0,1,1,1,5,760
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,363,500,1,0,1,1,1,10,779
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,375,500,1,0,1,1,1,0,742
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,377,500,1,0,1,1,1,4,750
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,383,500,1,0,1,1,1,4,750
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,389,500,1,0,1,1,1,5,757
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,396,500,1,0,1,1,1,5,760
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,403,500,1,0,1,1,1,15,742
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,420,500,1,0,1,1,1,4,750
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,426,500,1,0,1,1,1,2,750
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,430,500,1,0,1,1,1,2,757
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,434,500,1,0,1,1,1,2,760
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,438,500,1,0,1,1,1,5,752
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,445,500,1,0,1,1,1,5,754
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,452,500,1,0,1,1,1,2,779
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,456,500,1,0,1,1,1,9,752
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,467,500,1,0,1,1,1,9,754
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,478,500,1,0,1,1,1,8,779
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,488,500,1,0,1,1,1,2,780
MethodNameMutator_0,493,512,0,0,1,1,1,4,1213
MethodNameMutator_1,499,512,0,0,1,1,1,4,1213
MethodNameMutator_5,505,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_0,511,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_1,517,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_10,523,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_11,529,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_12,535,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_13,541,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_14,547,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_15,553,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_2,559,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_20,565,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_21,571,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_3,577,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_4,583,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_5,589,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_6,595,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_7,601,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_8,607,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.ArgumentsListMutator_9,613,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.MethodNameMutator_0,619,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.MethodNameMutator_1,625,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.MethodNameMutator_2,631,512,0,0,1,1,1,0,1213
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,633,512,0,0,1,1,1,4,1213
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,639,512,0,0,1,1,1,1,1213
org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator,642,512,0,0,1,1,1,4,1213
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,648,512,0,0,1,1,1,4,1213
org.mudebug.prapr.mutators.LocalNameMutator_0,654,513,1,0,1,1,1,6,1239
org.mudebug.prapr.mutators.LocalNameMutator_0,662,513,1,0,1,1,1,6,1239
org.mudebug.prapr.mutators.LocalNameMutator_0,670,513,1,0,1,1,1,7,1240
org.mudebug.prapr.mutators.LocalNameMutator_0,679,513,1,0,1,1,1,7,1241
org.mudebug.prapr.mutators.LocalNameMutator_0,688,513,1,0,1,1,1,6,1241
org.mudebug.prapr.mutators.LocalNameMutator_0,696,513,1,0,1,1,1,7,1242
org.mudebug.prapr.mutators.LocalNameMutator_0,705,513,1,0,1,1,1,6,1242
org.mudebug.prapr.mutators.LocalNameMutator_0,713,513,1,0,1,1,1,7,1243
org.mudebug.prapr.mutators.LocalNameMutator_0,722,513,1,0,1,1,1,5,1243
org.mudebug.prapr.mutators.LocalNameMutator_0,729,513,1,0,1,1,1,3,1244
org.mudebug.prapr.mutators.LocalNameMutator_0,734,513,1,0,1,1,1,3,1247
org.mudebug.prapr.mutators.LocalNameMutator_0,739,513,1,0,1,1,1,7,1283
org.mudebug.prapr.mutators.LocalNameMutator_1,748,513,1,0,1,1,1,7,1241
org.mudebug.prapr.mutators.LocalNameMutator_1,757,513,1,0,1,1,1,6,1241
org.mudebug.prapr.mutators.LocalNameMutator_1,765,513,1,0,1,1,1,7,1242
org.mudebug.prapr.mutators.LocalNameMutator_1,774,513,1,0,1,1,1,2,1242
org.mudebug.prapr.mutators.LocalNameMutator_1,778,513,1,0,1,1,1,7,1243
org.mudebug.prapr.mutators.LocalNameMutator_1,787,513,1,0,1,1,1,5,1243
org.mudebug.prapr.mutators.LocalNameMutator_1,794,513,1,0,1,1,1,3,1244
org.mudebug.prapr.mutators.LocalNameMutator_1,799,513,1,0,1,1,1,3,1247
org.mudebug.prapr.mutators.LocalNameMutator_2,804,513,1,0,1,1,1,6,1241
org.mudebug.prapr.mutators.LocalNameMutator_2,812,513,1,0,1,1,1,6,1241
org.mudebug.prapr.mutators.LocalNameMutator_2,820,513,1,0,1,1,1,7,1242
org.mudebug.prapr.mutators.LocalNameMutator_2,829,513,1,0,1,1,1,7,1242
org.mudebug.prapr.mutators.LocalNameMutator_2,838,513,1,0,1,1,1,7,1243
org.mudebug.prapr.mutators.LocalNameMutator_2,847,513,1,0,1,1,1,7,1243
org.mudebug.prapr.mutators.LocalNameMutator_2,856,513,1,0,1,1,1,0,1244
org.mudebug.prapr.mutators.LocalNameMutator_2,858,513,1,0,1,1,1,0,1247
org.mudebug.prapr.mutators.MethodNameMutator_0,860,513,1,0,1,1,1,6,1242
org.mudebug.prapr.mutators.MethodNameMutator_0,868,513,1,0,1,1,1,6,1243
org.mudebug.prapr.mutators.MethodNameMutator_0,876,513,1,0,1,1,1,3,1244
org.mudebug.prapr.mutators.MethodNameMutator_0,881,513,1,0,1,1,1,3,1247
org.mudebug.prapr.mutators.MethodNameMutator_1,886,513,1,0,1,1,1,7,1242
org.mudebug.prapr.mutators.MethodNameMutator_1,895,513,1,0,1,1,1,5,1243
org.mudebug.prapr.mutators.MethodNameMutator_2,902,513,1,0,1,1,1,3,1242
org.mudebug.prapr.mutators.MethodNameMutator_2,907,513,1,0,1,1,1,3,1243
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,912,513,1,0,1,1,1,0,1233
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,914,513,1,0,1,1,1,0,1240
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,916,513,1,0,1,1,1,0,1242
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,918,513,1,0,1,1,1,0,1243
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,920,513,1,0,1,1,1,8,1233
