mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,253905,828,0,0,1,1,1,3237
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,2870821,812,0,0,0,0,0,95
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,12513908,7601,0,0,0,0,0,6028
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,6808225,8105,0,0,1,1,1,6129
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,770781,7958,0,0,0,0,0,2027
org.mudebug.prapr.mutators.LocalNameMutator_2,400132,7958,0,0,0,0,0,2406
org.mudebug.prapr.mutators.DereferenceGuardMutator_3,12608480,8450,0,0,0,0,0,1
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,9802589,8162,0,0,0,0,0,167
org.mudebug.prapr.mutators.DereferenceGuardMutator_4,4712585,7964,0,0,0,0,0,1
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,7332954,7611,0,0,0,0,0,6
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,7955884,828,0,0,0,0,0,0
org.mudebug.prapr.mutators.ArgumentListMutator_3,11111567,7958,0,0,0,0,0,1
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,4732043,8269,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethodNameMutator_7,2049152,8101,0,0,0,0,0,2
org.mudebug.prapr.mutators.LocalNameMutator_1,3568543,7958,0,0,0,0,0,1
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,689763,8100,0,0,0,0,0,2404
org.mudebug.prapr.mutators.RelationalOperatorReplacement_1,13301333,812,0,0,0,0,0,215
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,3071240,823,0,0,0,1,1,2339
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,855788,811,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldNameMutator_0,7205862,8121,0,0,0,0,0,381
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,4380110,8210,0,0,0,0,0,31
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,1129962,745,0,0,0,0,1,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,8582726,8100,0,0,0,0,0,6
org.mudebug.prapr.mutators.LocalNameMutator_0,3498076,7601,0,0,0,0,0,3487
org.mudebug.prapr.mutators.MethodNameMutator_3,11206080,8209,0,0,0,0,0,15
org.mudebug.prapr.mutators.ArithmeticOperatorReplacement_3,10229353,831,0,0,0,0,0,8
org.mudebug.prapr.mutators.LocalNameMutator_0,684772,8209,0,0,0,0,0,463
org.mudebug.prapr.mutators.FieldNameMutator_0,13235181,8509,0,0,0,0,0,1
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,10043553,811,0,0,1,1,1,2711
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,6902711,710,0,0,0,0,1,0
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,6029062,776,0,0,0,0,0,0
org.mudebug.prapr.mutators.MethCallResultGuard_2,5890439,745,0,0,0,0,1,0
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,7885373,8390,0,0,0,0,0,21
org.mudebug.prapr.mutators.FieldNameMutator_4,12926562,7959,0,0,0,0,0,1
org.mudebug.prapr.mutators.FieldNameMutator_2,7401741,815,0,0,0,0,0,2
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,5677078,743,0,0,0,0,1,0
org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,1285351,8268,0,0,0,0,0,2086
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1294106,774,0,0,1,1,1,137
org.mudebug.prapr.mutators.RelationalOperatorReplacement_1,10651540,812,0,0,0,0,0,96
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,10088094,8166,0,0,0,0,0,291
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,12526270,820,0,0,0,0,0,0
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,4181773,8268,0,0,0,0,0,109
org.mudebug.prapr.mutators.MethCallResultGuard_1,9829483,8106,0,0,0,0,0,6
org.mudebug.prapr.mutators.MethodNameMutator_0,4735330,745,0,0,1,1,1,2956
org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,1681313,7958,0,0,1,1,1,6129
org.mudebug.prapr.mutators.MethCallResultGuard_1,9750050,7964,0,0,0,0,0,1
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2707777,8209,0,0,0,0,0,2153
org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,13081087,8100,0,0,0,0,0,88
org.mudebug.prapr.mutators.FieldNameMutator_5,12383730,7959,0,0,0,0,0,1
org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,519727,713,0,0,0,0,1,2
org.pitest.mutationtest.engine.gregor.mutators.BooleanFalseReturnValsMutator,10250481,7791,0,0,0,0,0,36
org.pitest.mutationtest.engine.gregor.mutators.BooleanFalseReturnValsMutator,6047474,8162,0,0,0,0,0,489
