mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,1,7759,0,0,0,0,0,4,1288
org.mudebug.prapr.mutators.MethodNameMutator_9,7,4964,0,0,0,0,0,5,2818
org.mudebug.prapr.mutators.DereferenceGuardMutator_3,18,4401,0,0,0,0,0,1,105
org.mudebug.prapr.mutators.MethodNameMutator_5,21,7046,0,0,0,0,0,0,88
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,23,961,0,0,0,0,0,0,1531
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,25,4678,0,0,1,1,1,5414,86
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,5441,7915,0,0,0,0,0,7,573
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,5450,1064,0,0,4,4,4,3005,261
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,8460,1071,0,0,0,0,0,0,372
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,8465,983,0,0,0,0,0,0,2191
org.mudebug.prapr.mutators.FieldNameMutator_3,8470,2486,0,0,0,0,0,0,2212
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,8472,1076,0,0,0,0,0,1913,129
org.mudebug.prapr.mutators.ArithmeticOperatorReplacement_3,10387,3385,0,0,0,0,0,3,1745
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,10392,1055,0,0,0,0,0,0,160
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,10404,8425,0,0,0,0,0,1,342
org.mudebug.prapr.mutators.ArithmeticOperatorReplacement_0,10407,860,0,0,0,0,0,16,664
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,10425,1697,0,0,0,0,0,0,780
org.mudebug.prapr.mutators.MethodNameMutator_4,10427,8831,0,0,4,4,4,6528,152
org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,16960,4856,0,0,0,0,0,436,788
org.mudebug.prapr.mutators.DereferenceGuardMutator_3,17398,2148,0,0,0,0,0,0,1362
org.mudebug.prapr.mutators.ArgumentListMutator_1,17400,8255,0,0,0,0,0,1,610
org.mudebug.prapr.mutators.ArithmeticOperatorReplacement_6,17406,1072,0,0,1,2,2,2160,412
