mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1,24,0,0,0,3,3,12,310
org.mudebug.prapr.mutators.ArgumentsListMutator_2,17,24,0,0,0,3,3,12,310
org.mudebug.prapr.mutators.ArgumentsListMutator_3,33,24,0,0,0,3,3,12,310
org.mudebug.prapr.mutators.ArgumentsListMutator_6,49,24,0,0,0,3,3,12,310
org.mudebug.prapr.mutators.ArgumentsListMutator_7,65,24,0,0,0,3,3,12,310
org.mudebug.prapr.mutators.ArgumentsListMutator_8,81,24,0,0,0,3,3,12,310
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,97,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,101,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,105,24,0,0,0,0,0,0,310
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,109,24,0,0,3,3,3,157,308
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,270,24,0,0,0,0,0,145,308
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,419,24,0,0,3,3,3,16,310
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_2,439,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_2,443,24,0,0,0,0,0,0,310
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,447,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,451,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,455,24,0,0,0,0,0,0,310
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_1,459,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_1,463,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_1,467,24,0,0,0,0,0,0,310
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,471,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,475,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,479,24,0,0,0,0,0,0,310
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,483,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,487,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,491,24,0,0,0,0,0,0,310
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,495,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,499,24,0,0,0,0,0,0,308
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,503,24,0,0,0,0,0,0,310
org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,507,24,0,0,3,3,3,16,310
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,527,24,0,3,3,3,3,157,308
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,685,24,0,3,3,3,3,16,308
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,702,24,0,0,0,0,0,145,308
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,851,17,0,0,0,0,0,0,54
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,855,17,0,0,0,0,0,0,54
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,859,17,0,0,3,3,3,177,54
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,1040,17,0,0,0,0,0,0,54
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,1044,17,0,0,0,0,0,0,54
org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator,1048,17,0,0,3,3,3,171,54
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,1223,17,0,0,3,3,3,171,54
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1398,18,0,0,0,0,0,0,59
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,1402,18,0,0,0,0,0,0,59
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,1406,18,0,0,3,3,3,157,59
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,1567,18,0,0,0,0,0,0,59
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,1571,18,0,0,0,0,0,0,59
org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator,1575,18,0,3,3,3,3,16,59
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,1592,18,0,0,3,3,3,157,59
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1753,20,0,0,0,0,3,10,103
org.mudebug.prapr.mutators.ArgumentsListMutator_1,1767,20,0,0,0,0,3,10,103
org.mudebug.prapr.mutators.ArgumentsListMutator_10,1781,20,0,0,0,0,3,10,103
org.mudebug.prapr.mutators.ArgumentsListMutator_11,1795,20,0,0,0,0,3,10,103
org.mudebug.prapr.mutators.ArgumentsListMutator_12,1809,20,0,0,3,3,3,13,103
org.mudebug.prapr.mutators.ArgumentsListMutator_13,1826,20,0,0,3,3,3,13,103
org.mudebug.prapr.mutators.ArgumentsListMutator_14,1843,20,0,0,3,3,3,13,103
org.mudebug.prapr.mutators.ArgumentsListMutator_15,1860,20,0,0,3,3,3,13,103
org.mudebug.prapr.mutators.ArgumentsListMutator_2,1877,20,0,0,0,0,3,10,103
org.mudebug.prapr.mutators.ArgumentsListMutator_20,1891,20,0,0,3,3,3,13,103
org.mudebug.prapr.mutators.ArgumentsListMutator_21,1908,20,0,0,3,3,3,13,103
org.mudebug.prapr.mutators.ArgumentsListMutator_3,1925,20,0,0,0,0,3,10,103
org.mudebug.prapr.mutators.ArgumentsListMutator_4,1939,20,0,0,0,0,3,10,103
