mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_1,45,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_10,89,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_11,133,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_12,177,181,0,0,0,1,1,0,278
org.mudebug.prapr.mutators.ArgumentsListMutator_13,179,181,0,0,0,1,1,0,278
org.mudebug.prapr.mutators.ArgumentsListMutator_14,181,181,0,0,0,1,1,0,278
org.mudebug.prapr.mutators.ArgumentsListMutator_15,183,181,0,0,0,1,1,0,278
org.mudebug.prapr.mutators.ArgumentsListMutator_16,185,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_17,229,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_18,273,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_19,317,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_2,361,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_20,405,181,0,0,0,1,1,0,278
org.mudebug.prapr.mutators.ArgumentsListMutator_21,407,181,0,0,0,1,1,0,278
org.mudebug.prapr.mutators.ArgumentsListMutator_22,409,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_23,453,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_3,497,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_4,541,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_5,585,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_6,629,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_7,673,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_8,717,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_9,761,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.FieldNameMutator_0,805,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.FieldNameMutator_1,849,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.FieldNameMutator_2,893,181,0,0,1,1,1,42,278
org.mudebug.prapr.mutators.ArgumentsListMutator_0,937,182,0,0,0,1,1,9,304
