mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,1,38,0,0,0,1,1,70,416
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,73,38,0,0,0,1,1,34,417
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,109,38,0,0,0,1,1,6,418
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,117,38,0,0,0,1,1,23,419
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,142,38,0,0,0,1,1,19,420
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,163,38,0,0,0,1,1,9,421
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,174,38,0,0,0,1,1,3,422
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,179,38,0,0,0,1,1,10,423
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,191,38,0,0,0,1,1,18,424
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,211,38,0,0,0,1,1,4,425
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,217,38,0,1,1,1,1,26,426
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,244,38,0,1,1,1,1,25,427
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,270,38,0,0,0,1,1,3,428
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,275,38,0,0,0,1,1,47,417
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,324,38,0,0,0,1,1,23,419
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,349,38,0,0,0,1,1,19,420
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,370,38,0,0,0,1,1,19,421
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,391,38,0,0,0,1,1,13,422
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,406,38,0,0,0,1,1,10,423
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,418,38,0,0,0,1,1,19,424
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,439,38,0,0,0,1,1,4,425
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,445,38,0,0,0,1,1,3,428
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_2,450,38,0,0,0,1,1,49,417
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_2,501,38,0,0,0,1,1,38,419
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_2,541,38,0,0,0,1,1,19,420
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_2,562,38,0,0,0,1,1,12,421
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_2,576,38,0,0,0,1,1,6,422
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_2,584,38,0,0,0,1,1,16,423
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_2,602,38,0,0,0,1,1,3,428
org.mudebug.prapr.mutators.LocalNameMutator_0,607,38,0,0,0,1,1,51,417
org.mudebug.prapr.mutators.LocalNameMutator_0,660,38,0,0,0,1,1,110,419
org.mudebug.prapr.mutators.LocalNameMutator_0,772,38,0,0,0,1,1,42,420
org.mudebug.prapr.mutators.LocalNameMutator_0,816,38,0,0,0,1,1,14,421
org.mudebug.prapr.mutators.LocalNameMutator_0,832,38,0,0,0,1,1,3,422
org.mudebug.prapr.mutators.LocalNameMutator_0,837,38,0,0,0,1,1,12,423
org.mudebug.prapr.mutators.LocalNameMutator_0,851,38,0,0,0,1,1,18,424
org.mudebug.prapr.mutators.LocalNameMutator_0,871,38,0,0,0,1,1,5,425
org.mudebug.prapr.mutators.LocalNameMutator_0,878,38,0,0,0,1,1,5,428
org.mudebug.prapr.mutators.LocalNameMutator_1,885,38,0,0,0,1,1,37,417
org.mudebug.prapr.mutators.LocalNameMutator_1,924,38,0,0,0,1,1,59,419
org.mudebug.prapr.mutators.LocalNameMutator_1,985,38,0,0,0,1,1,43,420
org.mudebug.prapr.mutators.LocalNameMutator_1,1030,38,0,0,0,1,1,9,421
org.mudebug.prapr.mutators.LocalNameMutator_1,1041,38,0,0,0,1,1,2,422
org.mudebug.prapr.mutators.LocalNameMutator_1,1045,38,0,0,0,1,1,10,423
org.mudebug.prapr.mutators.LocalNameMutator_1,1057,38,0,0,0,1,1,11,428
org.mudebug.prapr.mutators.LocalNameMutator_2,1070,38,0,0,0,1,1,9,421
org.mudebug.prapr.mutators.LocalNameMutator_2,1081,38,0,0,0,1,1,3,422
org.mudebug.prapr.mutators.LocalNameMutator_2,1086,38,0,0,0,1,1,10,423
org.mudebug.prapr.mutators.LocalNameMutator_2,1098,38,0,0,0,1,1,3,428
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,1103,38,0,0,0,1,1,0,426
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,1105,38,0,0,0,1,1,0,427
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,1107,38,0,0,0,1,1,4,426
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,1113,38,0,1,1,1,1,25,427
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,1139,38,0,0,0,1,1,4,426
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,1145,38,0,0,0,1,1,0,426
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,1147,38,0,0,0,1,1,0,427
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,1149,38,0,0,0,1,1,0,429
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_1,1151,38,0,0,0,1,1,0,426
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_1,1153,38,0,0,0,1,1,0,427
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_1,1155,38,0,0,0,1,1,0,429
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,1157,38,0,0,0,1,1,0,426
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,1159,38,0,0,0,1,1,0,427
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,1161,38,0,0,0,1,1,0,429
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,1163,38,0,0,0,1,1,0,426
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,1165,38,0,0,0,1,1,0,427
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,1167,38,0,0,0,1,1,0,429
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,1169,38,0,0,0,1,1,0,426
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,1171,38,0,0,0,1,1,0,427
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,1173,38,0,0,0,1,1,0,429
org.mudebug.prapr.mutators.VoidMethodCallGuardMutator,1175,38,0,0,0,1,1,0,429
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1177,38,0,0,1,1,1,132,427
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1311,38,0,0,1,1,1,109,427
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,1422,38,0,1,1,1,1,25,427
org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,1448,38,0,0,0,1,1,9,429
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1459,38,0,0,0,1,1,70,416
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1531,38,0,0,0,1,1,34,417
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1567,38,0,0,0,1,1,6,418
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1575,38,0,0,0,1,1,23,419
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1600,38,0,0,0,1,1,19,420
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1621,38,0,0,0,1,1,9,421
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1632,38,0,0,0,1,1,3,422
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1637,38,0,0,0,1,1,10,423
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1649,38,0,0,0,1,1,18,424
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1669,38,0,0,0,1,1,4,425
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1675,38,0,0,0,1,1,4,426
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1681,38,0,1,1,1,1,25,427
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1707,38,0,0,0,1,1,3,428
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1712,43,0,0,0,1,1,0,546
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,1714,43,0,0,0,1,1,0,546
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,1716,43,0,0,1,1,1,139,546
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,1857,43,0,0,0,1,1,4,546
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,1863,43,0,0,0,1,1,4,546
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_2,1869,43,0,0,0,1,1,4,546
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,1875,43,0,0,0,1,1,98,546
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_4,1975,43,0,0,0,1,1,98,546
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,2075,43,0,0,0,1,1,0,546
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,2077,43,0,0,0,1,1,0,546
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,2079,43,0,0,0,1,1,0,546
org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,2081,43,0,0,0,1,1,99,546
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,2182,43,0,0,0,1,1,99,546
MethodNameMutator_0,2283,45,0,0,1,1,1,30,564
MethodNameMutator_2,2315,45,0,0,1,1,1,30,564
MethodNameMutator_3,2347,45,0,0,1,1,1,30,564
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,2379,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,2381,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,2383,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,2385,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,2387,45,0,0,1,1,1,114,564
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,2503,45,0,0,1,1,1,30,564
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,2535,45,0,1,1,1,1,21,564
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,2557,45,0,0,1,1,1,28,564
org.mudebug.prapr.mutators.FieldNameMutator_0,2587,45,0,1,1,1,1,21,564
org.mudebug.prapr.mutators.FieldNameMutator_0,2609,45,0,0,1,1,1,28,564
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2639,45,0,1,1,1,1,23,564
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2663,45,0,0,1,1,1,30,564
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,2695,45,0,1,1,1,1,23,564
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,2719,45,0,0,1,1,1,30,564
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_2,2751,45,0,1,1,1,1,23,564
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_2,2775,45,0,0,1,1,1,30,564
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,2807,45,0,1,1,1,1,23,564
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,2831,45,0,0,1,1,1,30,564
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_4,2863,45,0,1,1,1,1,23,564
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_4,2887,45,0,0,1,1,1,30,564
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,2919,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,2921,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,2923,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,2925,45,0,1,1,1,1,23,564
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,2949,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,2951,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,2953,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,2955,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,2957,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,2959,45,0,0,0,1,1,0,564
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,2961,45,0,0,0,1,1,0,564
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,2963,45,0,1,1,1,1,107,564
