mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,3,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,5,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,7,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,9,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,11,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,13,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,15,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,17,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,19,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,21,1131,0,0,0,0,0,1,895
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,24,1131,0,0,0,0,0,1,901
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,27,1131,0,0,0,0,0,1,901
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,30,1131,0,0,0,0,0,1,901
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,33,1131,0,0,0,0,0,1,901
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_4,36,1131,0,0,0,0,0,1,901
org.mudebug.prapr.mutators.FieldNameMutator_0,39,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.FieldNameMutator_0,41,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.FieldNameMutator_0,43,1131,0,0,0,0,0,1,901
org.mudebug.prapr.mutators.FieldNameMutator_0,46,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.FieldNameMutator_1,48,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.FieldNameMutator_1,50,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.FieldNameMutator_1,52,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.FieldNameMutator_1,54,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.FieldNameMutator_2,56,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.FieldNameMutator_2,58,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.FieldNameMutator_2,60,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.FieldNameMutator_3,62,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.FieldNameMutator_3,64,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,66,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,68,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,70,1131,0,0,0,0,0,0,904
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,72,1131,0,0,0,0,0,0,904
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_2,74,1131,0,0,0,0,0,0,904
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,76,1131,0,0,0,0,0,0,904
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_4,78,1131,0,0,0,0,0,0,904
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,80,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,82,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,84,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,86,1131,0,0,0,0,0,0,901
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,88,1131,0,0,0,0,0,0,895
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,90,1131,0,0,0,0,0,0,895
