mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1,829,0,0,1,1,1,127,241
org.mudebug.prapr.mutators.ArgumentsListMutator_2,130,829,0,0,1,1,1,127,241
org.mudebug.prapr.mutators.ArgumentsListMutator_3,259,829,0,0,1,1,1,127,241
org.mudebug.prapr.mutators.ArgumentsListMutator_6,388,829,0,0,1,1,1,127,241
org.mudebug.prapr.mutators.ArgumentsListMutator_7,517,829,0,0,1,1,1,127,241
org.mudebug.prapr.mutators.ArgumentsListMutator_8,646,829,0,0,1,1,1,127,241
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,775,829,0,0,1,1,1,171,225
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,948,829,0,0,1,1,1,171,226
org.mudebug.prapr.mutators.FieldNameMutator_0,1121,829,0,0,0,0,0,6,224
org.mudebug.prapr.mutators.FieldNameMutator_0,1129,829,0,0,0,1,1,0,225
org.mudebug.prapr.mutators.FieldNameMutator_0,1131,829,0,0,0,1,1,0,226
org.mudebug.prapr.mutators.FieldNameMutator_1,1133,829,0,0,0,0,0,6,224
org.mudebug.prapr.mutators.FieldNameMutator_1,1141,829,0,0,0,1,1,0,225
org.mudebug.prapr.mutators.FieldNameMutator_1,1143,829,0,0,0,1,1,0,226
org.mudebug.prapr.mutators.FieldNameMutator_2,1145,829,0,0,0,0,0,6,224
org.mudebug.prapr.mutators.FieldNameMutator_2,1153,829,0,0,0,1,1,0,226
org.mudebug.prapr.mutators.FieldNameMutator_3,1155,829,0,0,0,0,0,6,224
org.mudebug.prapr.mutators.FieldNameMutator_4,1163,829,0,0,0,0,0,6,224
org.mudebug.prapr.mutators.FieldNameMutator_5,1171,829,0,0,0,0,0,6,224
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,1179,829,0,0,1,1,1,171,223
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,1353,829,0,0,0,1,1,0,225
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,1355,829,0,0,0,1,1,0,226
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,1357,829,0,0,0,0,0,6,224
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,1365,829,0,0,0,1,1,0,225
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,1367,829,0,0,0,0,0,0,226
org.mudebug.prapr.mutators.LocalNameMutator_0,1369,829,0,0,0,1,1,7,224
org.mudebug.prapr.mutators.LocalNameMutator_0,1378,829,0,0,0,1,1,0,225
org.mudebug.prapr.mutators.LocalNameMutator_0,1380,829,0,0,0,1,1,0,226
org.mudebug.prapr.mutators.LocalNameMutator_0,1382,829,0,0,0,1,1,0,228
org.mudebug.prapr.mutators.LocalNameMutator_0,1384,829,0,0,0,1,1,0,233
org.mudebug.prapr.mutators.LocalNameMutator_0,1386,829,0,0,0,1,1,0,233
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,1389,829,0,0,1,1,1,127,241
org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,1518,829,0,0,0,1,1,0,228
org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,1520,829,0,0,1,1,1,127,241
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,1649,829,0,0,0,1,1,0,228
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,1651,829,0,0,0,1,1,0,233
org.pitest.mutationtest.engine.gregor.mutators.MathMutator,1653,829,0,0,0,1,1,0,233
org.pitest.mutationtest.engine.gregor.mutators.MathMutator,1655,829,0,0,0,1,1,0,233
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1657,829,0,0,0,1,1,1,228
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1660,829,0,0,0,1,1,0,233
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1662,829,0,0,0,1,1,0,233
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,1664,829,0,0,0,1,1,0,233
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,1666,829,0,0,0,1,1,0,228
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,1668,829,0,0,0,1,1,1,228
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1671,829,0,0,0,1,1,0,223
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1673,829,0,0,0,0,0,6,224
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1681,829,0,0,0,1,1,0,225
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1683,829,0,0,0,1,1,0,226
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1685,829,0,0,1,1,1,127,241
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1814,830,0,0,0,1,1,0,257
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1816,830,0,0,0,1,1,0,258
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1818,830,0,0,0,1,1,0,259
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1820,830,0,0,0,1,1,0,260
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1822,830,0,0,0,1,1,0,260
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1824,830,0,0,0,1,1,0,261
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1826,830,0,0,0,1,1,0,263
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1828,830,0,0,0,1,1,0,264
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1830,830,0,0,0,1,1,0,266
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,1832,830,0,0,0,1,1,0,267
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,1834,830,0,0,0,1,1,0,257
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,1836,830,0,0,0,1,1,0,258
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,1838,830,0,0,0,1,1,0,259
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,1840,830,0,0,0,1,1,0,260
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,1842,830,0,0,0,1,1,0,260
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,1844,830,0,0,0,1,1,0,261
