mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,2,5075,0,0,0,0,1,30,126
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,35,5075,0,0,0,0,1,6,129
org.mudebug.prapr.mutators.DereferenceGuardMutator_1,44,5075,0,0,0,0,1,6,129
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,55,5075,0,0,0,0,1,4,129
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,62,5075,0,0,0,1,1,1334,123
org.mudebug.prapr.mutators.FieldNameMutator_0,1400,5075,0,0,1,1,1,551,120
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,1958,5075,0,0,1,1,1,1148,118
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,3110,5075,0,0,1,1,1,960,121
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,4072,5075,0,0,1,1,1,1341,122
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,5423,5075,0,0,0,0,1,3,124
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,5432,5075,0,0,0,1,1,256,124
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,5690,5075,0,0,1,1,1,1019,129
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,6711,5075,0,0,1,1,1,1019,129
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,7733,5075,0,0,0,1,1,146,124
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,7881,5075,0,0,0,0,1,3,124
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,7889,5075,0,0,0,0,1,1,124
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,7895,5075,0,0,0,0,1,3,124
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,7905,5075,0,0,0,0,1,3,124
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,7910,5075,0,0,0,0,1,3,129
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_1,7918,5075,0,0,0,0,1,4,124
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,7928,5075,0,0,0,0,1,4,124
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,7934,5075,0,0,0,0,1,1,129
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,7940,5075,0,0,0,0,1,3,124
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,7949,5075,0,0,0,0,1,4,124
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,7965,5075,0,0,0,0,1,3,124
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,7971,5075,0,0,1,1,1,1148,118
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,9123,5075,0,0,1,1,1,1005,121
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,10130,5075,0,0,1,1,1,1325,122
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,11459,5075,0,0,1,1,1,1019,129
MethodNameMutator_0,12480,5094,0,0,0,1,1,674,468
MethodNameMutator_0,13157,5094,0,0,0,1,1,69,496
MethodNameMutator_0,13228,5094,0,0,0,0,1,12,496
MethodNameMutator_4,13242,5094,0,0,0,1,1,674,468
MethodNameMutator_4,13918,5094,0,0,0,1,1,66,472
MethodNameMutator_4,13986,5094,0,0,0,1,1,37,496
MethodNameMutator_4,14025,5094,0,0,0,0,1,10,496
org.mudebug.prapr.mutators.ArgumentsListMutatorSecondPhase_0,14037,5094,0,0,0,0,1,5,498
org.mudebug.prapr.mutators.ArgumentsListMutator_0,14044,5094,0,0,1,1,1,36,496
org.mudebug.prapr.mutators.ArgumentsListMutator_0,14082,5094,0,0,0,0,1,12,496
org.mudebug.prapr.mutators.ArgumentsListMutator_2,14096,5094,0,0,1,1,1,36,496
org.mudebug.prapr.mutators.ArgumentsListMutator_2,14134,5094,0,0,0,0,1,1,496
org.mudebug.prapr.mutators.ArgumentsListMutator_3,14137,5094,0,0,1,1,1,36,496
org.mudebug.prapr.mutators.ArgumentsListMutator_3,14175,5094,0,0,0,0,1,12,496
org.mudebug.prapr.mutators.ArgumentsListMutator_6,14189,5094,0,0,1,1,1,36,496
org.mudebug.prapr.mutators.ArgumentsListMutator_6,14227,5094,0,0,0,0,1,1,496
org.mudebug.prapr.mutators.ArgumentsListMutator_7,14230,5094,0,0,1,1,1,36,496
org.mudebug.prapr.mutators.ArgumentsListMutator_7,14268,5094,0,0,0,0,1,1,496
org.mudebug.prapr.mutators.ArgumentsListMutator_8,14271,5094,0,0,1,1,1,36,496
org.mudebug.prapr.mutators.ArgumentsListMutator_8,14309,5094,0,0,0,0,1,1,496
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,14314,5094,0,0,0,0,1,0,499
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,14318,5094,0,0,0,0,1,0,499
org.mudebug.prapr.mutators.FieldNameMutator_0,14322,5094,0,0,0,1,1,78,499
org.mudebug.prapr.mutators.FieldNameMutator_1,14402,5094,0,0,0,1,1,78,499
org.mudebug.prapr.mutators.FieldNameMutator_2,14482,5094,0,0,0,1,1,78,499
org.mudebug.prapr.mutators.FieldNameMutator_3,14562,5094,0,0,0,1,1,78,499
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,14642,5094,0,0,0,1,1,607,469
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,15253,5094,0,0,1,1,1,33,496
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,15288,5094,0,0,1,1,1,30,496
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,15320,5094,0,0,0,0,1,8,496
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,15330,5094,0,0,0,0,1,20,498
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,15353,5094,0,0,1,1,1,35,496
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,15390,5094,0,0,0,0,1,22,498
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_2,15415,5094,0,0,1,1,1,36,496
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_2,15453,5094,0,0,0,0,1,22,498
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,15477,5094,0,0,0,0,1,3,468
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,15482,5094,0,0,0,1,1,658,469
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,16143,5094,0,0,0,1,1,577,473
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,16724,5094,0,0,0,0,1,3,496
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,16729,5094,0,0,0,0,1,0,496
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,16731,5094,0,0,0,0,1,0,496
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,16733,5094,0,0,0,0,1,0,496
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,16735,5094,0,0,0,0,1,2,496
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,16739,5094,0,0,0,0,1,0,498
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,16741,5094,0,0,0,0,1,5,499
org.mudebug.prapr.mutators.MethodNameMutator_0,16749,5094,0,0,0,1,1,68,473
org.mudebug.prapr.mutators.MethodNameMutator_0,16819,5094,0,0,0,0,1,2,499
org.mudebug.prapr.mutators.MethodNameMutator_1,16824,5094,0,0,0,0,1,4,473
org.mudebug.prapr.mutators.MethodNameMutator_1,16830,5094,0,0,0,0,1,2,499
org.mudebug.prapr.mutators.MethodNameMutator_2,16834,5094,0,0,0,0,1,1,499
org.mudebug.prapr.mutators.MethodNameMutator_3,16837,5094,0,0,0,0,1,2,499
org.mudebug.prapr.mutators.MethodNameMutator_4,16841,5094,0,0,0,0,1,1,499
org.mudebug.prapr.mutators.MethodNameMutator_5,16844,5094,0,0,0,0,1,2,499
org.mudebug.prapr.mutators.MethodNameMutator_6,16848,5094,0,0,0,0,1,2,499
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,16854,5094,0,0,0,0,1,3,473
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,16860,5094,0,0,0,0,1,0,496
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,16862,5094,0,0,0,0,1,0,496
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,16864,5094,0,0,0,0,1,0,496
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,16866,5094,0,0,0,0,1,3,499
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,16872,5094,0,0,0,1,1,66,472
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,16941,5094,0,0,0,0,1,16,475
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,16959,5094,0,0,1,1,1,37,496
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,16998,5094,0,0,0,1,1,82,496
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,17082,5094,0,0,0,0,1,12,496
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,17096,5094,0,0,0,0,1,1,499
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,17099,5094,0,0,0,0,1,16,475
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,17117,5094,0,0,0,0,1,8,496
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,17127,5094,0,0,0,0,1,1,499
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_2,17132,5094,0,0,0,0,1,16,475
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_2,17150,5094,0,0,1,1,1,33,496
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_2,17185,5094,0,0,0,0,1,1,499
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,17190,5094,0,0,0,0,1,0,499
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,17194,5094,0,0,0,0,1,0,499
