mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1,131,0,0,1,1,1,78,164
org.mudebug.prapr.mutators.ArgumentsListMutator_2,81,131,0,0,1,1,1,78,164
org.mudebug.prapr.mutators.ArgumentsListMutator_3,161,131,0,0,1,1,1,78,164
org.mudebug.prapr.mutators.ArgumentsListMutator_6,241,131,0,0,1,1,1,78,164
org.mudebug.prapr.mutators.ArgumentsListMutator_7,321,131,0,0,1,1,1,78,164
org.mudebug.prapr.mutators.ArgumentsListMutator_8,401,131,0,0,1,1,1,78,164
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,481,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,483,131,0,0,0,0,0,0,181
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,485,131,0,0,0,0,0,0,181
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,487,131,0,0,0,0,0,0,138
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,489,131,0,0,0,0,0,0,144
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,491,131,0,0,0,0,0,0,152
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,493,131,0,0,0,0,0,0,158
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,495,131,0,0,1,1,1,78,176
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,575,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,577,131,0,0,0,0,0,0,181
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,579,131,0,0,0,0,0,0,181
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,581,131,0,0,0,0,0,0,144
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,583,131,0,0,0,0,0,0,152
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,585,131,0,0,0,0,0,0,158
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,587,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,589,131,0,0,0,0,0,0,144
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,591,131,0,0,0,0,0,0,152
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,593,131,0,0,0,0,0,0,158
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,595,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,597,131,0,0,1,1,1,78,144
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,677,131,0,0,1,1,1,78,152
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,757,131,0,0,1,1,1,78,158
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,837,131,0,0,1,1,1,78,180
org.mudebug.prapr.mutators.FieldNameMutator_0,917,131,0,0,0,0,0,0,144
org.mudebug.prapr.mutators.FieldNameMutator_0,919,131,0,0,0,0,0,0,152
org.mudebug.prapr.mutators.FieldNameMutator_0,921,131,0,0,0,0,0,0,158
org.mudebug.prapr.mutators.FieldNameMutator_0,923,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.FieldNameMutator_1,925,131,0,0,0,0,0,0,144
org.mudebug.prapr.mutators.FieldNameMutator_1,927,131,0,0,0,0,0,0,152
org.mudebug.prapr.mutators.FieldNameMutator_1,929,131,0,0,0,0,0,0,158
org.mudebug.prapr.mutators.FieldNameMutator_1,931,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.FieldNameMutator_2,933,131,0,0,0,0,0,0,144
org.mudebug.prapr.mutators.FieldNameMutator_2,935,131,0,0,0,0,0,0,152
org.mudebug.prapr.mutators.FieldNameMutator_2,937,131,0,0,0,0,0,0,158
org.mudebug.prapr.mutators.FieldNameMutator_2,939,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.FieldNameMutator_3,941,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,943,131,0,0,0,0,0,3,176
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,948,131,0,0,1,1,1,77,177
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,1027,131,0,0,0,0,0,0,178
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,1029,131,0,0,0,0,0,3,176
org.mudebug.prapr.mutators.LocalNameMutator_0,1034,131,0,0,0,0,0,0,175
org.mudebug.prapr.mutators.LocalNameMutator_0,1036,131,0,0,0,1,1,48,176
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,1086,131,0,0,1,1,1,78,179
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,1166,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,1168,131,0,0,0,0,0,0,181
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,1170,131,0,0,0,0,0,0,181
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,1172,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,1174,131,0,0,0,0,0,0,181
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,1176,131,0,0,0,0,0,0,181
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,1178,131,0,0,0,0,0,0,180
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,1180,131,0,0,0,0,0,0,181
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,1182,131,0,0,0,0,0,0,181
org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,1184,131,0,0,1,1,1,77,164
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,1263,131,0,0,1,1,1,3,144
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,1268,131,0,0,0,1,1,56,152
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,1326,131,0,0,0,1,1,32,158
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,1360,131,0,0,0,0,0,0,180
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,1362,131,0,0,0,0,0,14,180
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1378,131,0,0,0,0,0,14,180
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,1394,131,0,0,0,0,0,0,181
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1396,131,0,0,0,0,0,0,180
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1398,131,0,0,0,0,0,0,181
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,1400,131,0,0,0,0,0,14,180
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,1416,131,0,0,0,0,0,0,181
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1418,131,0,0,0,0,0,0,138
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1420,131,0,0,0,0,0,0,144
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1422,131,0,0,0,0,0,0,152
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1424,131,0,0,0,0,0,0,158
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1426,131,0,0,1,1,1,77,164
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1505,131,0,0,0,0,0,3,176
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1510,131,0,0,1,1,1,77,177
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1589,131,0,0,0,0,0,0,178
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1591,131,0,0,1,1,1,78,179
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1671,131,0,0,0,0,0,0,180
