mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1,66,0,0,1,1,1,184,21
org.mudebug.prapr.mutators.ArgumentsListMutator_1,187,66,0,0,0,0,0,0,21
org.mudebug.prapr.mutators.ArgumentsListMutator_10,189,66,0,0,0,0,0,0,21
org.mudebug.prapr.mutators.ArgumentsListMutator_11,191,66,0,0,0,0,0,0,21
org.mudebug.prapr.mutators.ArgumentsListMutator_2,193,66,0,0,1,1,1,184,21
org.mudebug.prapr.mutators.ArgumentsListMutator_3,379,66,0,0,1,1,1,184,21
org.mudebug.prapr.mutators.ArgumentsListMutator_4,565,66,0,0,0,0,0,0,21
org.mudebug.prapr.mutators.ArgumentsListMutator_5,567,66,0,0,0,0,0,0,21
org.mudebug.prapr.mutators.ArgumentsListMutator_6,569,66,0,0,1,1,1,184,21
org.mudebug.prapr.mutators.ArgumentsListMutator_7,755,66,0,0,1,1,1,184,21
org.mudebug.prapr.mutators.ArgumentsListMutator_8,941,66,0,0,1,1,1,184,21
org.mudebug.prapr.mutators.ArgumentsListMutator_9,1127,66,0,0,0,0,0,0,21
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,1129,66,0,0,0,0,0,0,28
org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,1131,66,0,0,1,1,1,184,21
org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,1317,66,0,0,1,1,1,184,29
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1503,66,0,0,1,1,1,184,21
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1689,66,0,0,0,0,0,0,28
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,1691,66,0,0,1,1,1,184,29
MethodNameMutator_0,1877,75,0,0,1,1,1,26,224
MethodNameMutator_0,1905,75,0,0,1,1,1,26,225
MethodNameMutator_0,1933,75,0,0,1,1,1,16,236
MethodNameMutator_4,1951,75,0,0,1,1,1,26,224
MethodNameMutator_4,1979,75,0,0,1,1,1,26,225
MethodNameMutator_4,2007,75,0,0,1,1,1,16,236
org.mudebug.prapr.mutators.ArgumentsListMutator_0,2025,75,0,0,0,0,0,0,226
org.mudebug.prapr.mutators.ArgumentsListMutator_0,2027,75,0,0,0,0,0,0,230
org.mudebug.prapr.mutators.ArgumentsListMutator_2,2029,75,0,0,0,0,0,0,226
org.mudebug.prapr.mutators.ArgumentsListMutator_2,2031,75,0,0,0,0,0,0,230
org.mudebug.prapr.mutators.ArgumentsListMutator_3,2033,75,0,0,0,0,0,0,226
org.mudebug.prapr.mutators.ArgumentsListMutator_3,2035,75,0,0,0,0,0,0,230
org.mudebug.prapr.mutators.ArgumentsListMutator_6,2037,75,0,0,0,0,0,0,226
org.mudebug.prapr.mutators.ArgumentsListMutator_6,2039,75,0,0,0,0,0,0,230
org.mudebug.prapr.mutators.ArgumentsListMutator_7,2041,75,0,0,0,0,0,0,226
org.mudebug.prapr.mutators.ArgumentsListMutator_7,2043,75,0,0,0,0,0,0,230
org.mudebug.prapr.mutators.ArgumentsListMutator_8,2045,75,0,0,0,0,0,0,226
org.mudebug.prapr.mutators.ArgumentsListMutator_8,2047,75,0,0,0,0,0,0,230
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,2049,75,0,0,0,0,0,0,224
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,2051,75,0,0,0,0,0,0,233
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,2053,75,0,0,0,0,0,0,236
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,2055,75,0,0,0,0,0,0,224
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,2057,75,0,0,0,0,0,0,233
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,2059,75,0,0,0,0,0,0,236
org.mudebug.prapr.mutators.FieldNameMutator_0,2061,75,0,0,0,0,0,15,225
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2078,75,0,0,1,1,1,26,225
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2106,75,0,0,0,0,0,0,226
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2108,75,0,0,0,0,0,0,227
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2110,75,0,0,0,0,0,8,229
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2120,75,0,0,0,0,0,1,230
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2123,75,0,1,1,1,1,9,233
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2133,75,0,0,1,1,1,16,235
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2151,75,0,0,0,0,0,14,236
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,2167,75,0,1,1,1,1,15,236
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,2183,75,0,0,0,0,0,0,226
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,2185,75,0,0,0,0,0,0,230
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,2187,75,0,0,0,0,0,0,233
