mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.FieldNameMutator_0,1,1936,0,0,0,0,0,0,111
org.mudebug.prapr.mutators.FieldNameMutator_0,3,1936,0,0,0,0,0,0,115
org.mudebug.prapr.mutators.FieldNameMutator_0,5,1936,0,0,0,1,1,21,126
org.mudebug.prapr.mutators.FieldNameMutator_0,28,1936,0,0,0,1,1,21,127
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,51,1936,0,0,0,1,1,22,107
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,75,1936,0,0,0,1,1,22,126
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_0,99,1936,0,0,0,1,1,20,127
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,121,1936,0,0,0,1,1,20,107
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,143,1936,0,0,0,1,1,20,126
org.mudebug.prapr.mutators.FieldToLocalAccessMutator_1,165,1936,0,0,0,1,1,20,127
org.mudebug.prapr.mutators.LocalNameMutator_0,187,1936,0,0,0,1,1,22,126
org.mudebug.prapr.mutators.LocalNameMutator_0,211,1936,0,0,0,1,1,20,127
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,233,1936,0,0,0,0,0,1,107
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,236,1936,0,0,0,0,0,0,107
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,238,1936,0,0,0,0,0,0,111
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,240,1936,0,0,0,0,0,0,115
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,242,1936,0,0,0,1,1,22,126
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,266,1936,0,0,0,1,1,20,127
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,288,1943,0,0,0,0,0,0,377
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,290,1943,0,0,0,0,0,0,377
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,292,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_1,313,1943,0,0,1,1,1,21,377
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_2,336,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_3,357,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_4,378,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.FieldNameMutator_0,399,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.FieldNameMutator_1,420,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,441,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_1,462,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_2,483,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_3,504,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_4,525,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,546,1943,0,0,0,0,0,11,377
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_0,559,1943,0,0,0,0,0,0,377
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,561,1943,0,0,0,0,0,0,377
org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,563,1943,0,0,0,1,1,19,377
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,584,1943,0,0,0,1,1,19,377
org.mudebug.prapr.mutators.LocalNameMutator_0,605,1937,0,0,1,1,1,10,142
org.mudebug.prapr.mutators.LocalNameMutator_0,617,1937,0,0,0,1,1,10,145
org.mudebug.prapr.mutators.LocalNameMutator_0,629,1937,0,0,0,0,0,0,146
org.mudebug.prapr.mutators.LocalNameMutator_0,631,1937,0,0,0,0,0,1,146
org.mudebug.prapr.mutators.LocalNameMutator_0,634,1937,0,0,0,1,1,4,150
org.mudebug.prapr.mutators.LocalNameMutator_0,640,1937,0,0,0,1,1,4,150
org.mudebug.prapr.mutators.LocalNameMutator_0,646,1937,0,0,0,1,1,4,151
org.mudebug.prapr.mutators.LocalNameMutator_0,652,1937,0,0,0,1,1,4,151
org.mudebug.prapr.mutators.LocalNameMutator_0,658,1937,0,0,0,1,1,15,153
org.mudebug.prapr.mutators.LocalNameMutator_0,675,1937,0,0,0,1,1,13,153
org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,690,1937,0,0,0,0,0,5,145
org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator,697,1937,0,0,1,1,1,15,153
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,714,1937,0,0,0,0,0,0,146
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,716,1937,0,0,0,0,0,1,146
org.pitest.mutationtest.engine.gregor.mutators.InvertNegsMutator,719,1937,0,0,0,1,1,1,150
org.pitest.mutationtest.engine.gregor.mutators.InvertNegsMutator,722,1937,0,0,0,1,1,3,151
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,727,1937,0,0,1,1,1,15,142
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,744,1937,0,0,0,1,1,13,145
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,759,1937,0,0,1,1,1,2,146
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,763,1937,0,0,1,1,1,2,146
org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator,767,1937,0,0,1,1,1,15,153
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,784,1937,0,0,0,0,0,1,142
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,787,1937,0,0,1,1,1,2,146
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,791,1937,0,0,0,0,0,1,146
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,794,1937,0,0,1,1,1,15,142
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,811,1937,0,0,0,0,0,0,146
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,813,1937,0,0,1,1,1,2,146
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,817,1937,0,0,0,1,1,3,145
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,822,1937,0,0,0,1,1,13,145
org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,837,1937,0,0,1,1,1,15,153
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,854,1942,0,0,0,0,0,0,368
org.mudebug.prapr.mutators.DereferenceGuardMutator_2,856,1942,0,0,0,0,0,0,368
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,858,1942,0,0,1,1,1,21,368
