mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.LocalNameMutator_0,1,738,0,0,0,1,1,42,108
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_1,45,737,0,0,0,0,0,0,88
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,47,613,0,0,0,0,0,5,727
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_3,54,614,0,0,0,0,0,0,809
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_0,56,614,0,0,1,1,1,16,798
org.mudebug.prapr.mutators.ReturningDereferenceGuardMutator_2,74,753,0,0,0,0,0,0,126
org.mudebug.prapr.mutators.MethCallResultGuard_1,76,727,0,0,0,0,0,0,58
org.mudebug.prapr.mutators.MethodNameMutator_1,78,613,0,0,1,1,1,14,720
org.mudebug.prapr.mutators.MethodNameMutator_0,94,585,0,0,1,1,1,13,147
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_2,109,741,1,0,0,1,1,2,173
org.mudebug.prapr.mutators.ArithmeticOperatorDeletion_1,113,768,0,0,1,1,1,42,111
org.mudebug.prapr.mutators.FieldNameMutator_3,157,743,0,0,0,1,1,33,236
org.mudebug.prapr.mutators.FieldNameMutator_2,192,738,0,0,1,1,1,41,99
org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,235,614,0,0,0,1,1,23,843
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,260,728,0,0,0,0,0,0,69
org.mudebug.prapr.mutators.MethCallResultGuard_1,262,743,0,0,0,0,0,0,231
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,264,596,0,0,0,0,0,6,399
org.mudebug.prapr.mutators.FieldNameMutator_1,272,753,0,0,0,0,0,2,168
org.mudebug.prapr.mutators.LocalNameMutator_0,276,753,0,0,1,1,1,14,139
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,292,613,0,0,1,1,1,14,726
org.mudebug.prapr.mutators.RelationalOperatorReplacement_0,308,753,0,0,0,0,0,4,168
org.mudebug.prapr.mutators.LocalToFieldAccessMutator_4,314,741,1,0,1,1,1,1,170
org.mudebug.prapr.mutators.RelationalOperatorReplacement_2,317,728,0,0,1,1,1,12,69
org.mudebug.prapr.mutators.LocalNameMutator_1,331,741,1,0,1,1,1,1,172
org.mudebug.prapr.mutators.MethCallResultGuard_0,334,753,0,0,0,0,0,0,153
org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,336,738,0,0,0,0,0,15,111
org.mudebug.prapr.mutators.FieldAccessToMethodCallMutator_0,353,582,0,0,1,1,1,54,58
org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,409,613,0,0,0,1,1,16,726
org.mudebug.prapr.mutators.DereferenceGuardMutator_0,427,596,0,0,0,0,0,0,414
org.mudebug.prapr.mutators.LocalNameMutator_2,429,741,1,0,0,1,1,2,173
