mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.LocalNameMutator_0,1,980,0,0,1,1,1,0,123
org.mudebug.prapr.mutators.LocalNameMutator_0,4,980,0,0,1,1,1,2,123
org.mudebug.prapr.mutators.LocalNameMutator_0,9,980,0,0,1,1,1,2,123
org.mudebug.prapr.mutators.LocalNameMutator_0,14,980,0,0,1,1,1,0,123
org.mudebug.prapr.mutators.LocalNameMutator_0,17,980,0,0,2,2,2,37,123
org.mudebug.prapr.mutators.LocalNameMutator_0,57,980,0,0,2,2,2,35,124
org.mudebug.prapr.mutators.LocalToMethodCallMutator_0,95,980,0,0,2,2,2,37,124
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,135,980,0,0,1,1,1,0,124
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,138,980,0,0,1,1,1,2,124
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,143,980,0,0,1,1,1,0,124
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_1,146,980,0,0,1,1,1,0,124
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,149,980,0,0,1,1,1,0,124
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,152,980,0,0,1,1,1,0,124
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,155,980,0,0,1,1,1,0,124
org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,158,980,0,0,2,2,2,35,123
org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator,196,980,0,0,2,2,2,36,123
org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,235,980,0,0,1,1,1,1,123
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,239,980,0,0,1,1,1,2,123
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,244,980,0,0,2,2,2,35,124
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,282,980,0,0,1,1,1,2,124
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,287,980,0,0,2,2,2,35,124
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,325,980,0,0,1,1,1,2,123
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,330,980,0,0,2,2,2,35,123
org.mudebug.prapr.mutators.MethodNameMutator_0,368,978,0,0,1,1,1,1,78
org.mudebug.prapr.mutators.MethodNameMutator_1,372,978,0,0,1,1,1,1,78
org.mudebug.prapr.mutators.MethodNameMutator_2,376,978,0,0,1,1,1,1,78
org.mudebug.prapr.mutators.MethodNameMutator_3,380,978,0,0,1,1,1,1,78
org.mudebug.prapr.mutators.MethodNameMutator_4,384,978,0,0,1,1,1,1,78
org.mudebug.prapr.mutators.MethodNameMutator_5,388,978,0,0,1,1,1,1,78
org.mudebug.prapr.mutators.MethodNameMutator_6,392,978,0,0,2,2,2,16,78
org.mudebug.prapr.mutators.MethodNameMutator_7,411,978,0,0,1,1,1,1,78
org.mudebug.prapr.mutators.MethodNameMutator_8,415,978,0,0,1,1,1,1,78
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,419,978,0,0,1,1,1,0,77
org.mudebug.prapr.mutators.NonVoidMethodCallGuardMutator_0,422,978,0,0,1,1,1,0,78
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,425,978,0,0,2,2,2,27,77
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_0,455,978,0,0,1,1,1,1,78
org.mudebug.prapr.mutators.NonVoidMethodCallRemovalMutator_1,459,978,0,0,2,2,2,15,77
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,477,978,0,0,1,1,1,0,77
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_0,480,978,0,0,1,1,1,0,78
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_1,483,978,0,0,1,1,1,0,77
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_1,486,978,0,0,1,1,1,0,78
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,489,978,0,0,1,1,1,0,77
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_2,492,978,0,0,1,1,1,0,78
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,495,978,0,0,1,1,1,0,77
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_3,498,978,0,0,1,1,1,0,78
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,501,978,0,0,1,1,1,0,77
org.mudebug.prapr.mutators.ReturningMethodCallGuardMutator_4,504,978,0,0,1,1,1,0,78
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,507,978,0,0,2,2,2,23,77
org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,533,978,0,0,2,2,2,35,78
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,571,978,0,0,2,2,2,15,77
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,589,978,0,0,1,1,1,1,78
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,593,978,0,0,2,2,2,16,77
org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,612,978,0,0,2,2,2,35,78
MethodNameMutator_0,650,979,0,0,2,2,2,16,85
MethodNameMutator_0,669,979,0,0,1,1,1,0,100
MethodNameMutator_0,671,979,0,0,2,2,2,11,117
MethodNameMutator_1,685,979,0,0,1,1,1,0,85
MethodNameMutator_1,688,979,0,0,2,2,2,6,85
MethodNameMutator_1,697,979,0,0,2,2,2,6,85
MethodNameMutator_1,706,979,0,0,1,1,1,0,100
MethodNameMutator_1,708,979,0,0,1,1,1,0,100
MethodNameMutator_1,710,979,0,0,1,1,1,3,117
MethodNameMutator_2,716,979,0,0,1,1,1,0,85
MethodNameMutator_2,719,979,0,0,2,2,2,6,85
MethodNameMutator_2,728,979,0,0,2,2,2,6,85
MethodNameMutator_2,737,979,0,0,1,1,1,0,100
MethodNameMutator_2,739,979,0,0,1,1,1,0,100
MethodNameMutator_2,741,979,0,0,1,1,1,3,117
MethodNameMutator_3,747,979,0,0,1,1,1,0,100
MethodNameMutator_3,749,979,0,0,2,2,2,11,117
MethodNameMutator_4,763,979,0,0,2,2,2,16,85
org.mudebug.prapr.mutators.ArgumentsListMutator_0,782,979,0,0,1,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_0,784,979,0,0,1,1,1,3,117
org.mudebug.prapr.mutators.ArgumentsListMutator_1,790,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_1,792,979,0,0,1,1,1,2,117
org.mudebug.prapr.mutators.ArgumentsListMutator_10,797,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_10,799,979,0,0,1,1,1,2,117
org.mudebug.prapr.mutators.ArgumentsListMutator_11,804,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_11,806,979,0,0,1,1,1,2,117
org.mudebug.prapr.mutators.ArgumentsListMutator_12,811,979,0,0,1,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_12,813,979,0,0,2,2,2,11,117
org.mudebug.prapr.mutators.ArgumentsListMutator_13,827,979,0,0,1,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_13,829,979,0,0,2,2,2,11,117
org.mudebug.prapr.mutators.ArgumentsListMutator_14,843,979,0,0,1,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_14,845,979,0,0,2,2,2,11,117
org.mudebug.prapr.mutators.ArgumentsListMutator_15,859,979,0,0,1,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_15,861,979,0,0,2,2,2,11,117
org.mudebug.prapr.mutators.ArgumentsListMutator_16,875,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_16,877,979,0,0,1,1,1,2,117
org.mudebug.prapr.mutators.ArgumentsListMutator_17,882,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_17,884,979,0,0,1,1,1,2,117
org.mudebug.prapr.mutators.ArgumentsListMutator_18,889,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_18,891,979,0,0,1,1,1,2,117
org.mudebug.prapr.mutators.ArgumentsListMutator_19,896,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_19,898,979,0,0,1,1,1,2,117
org.mudebug.prapr.mutators.ArgumentsListMutator_2,903,979,0,0,1,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_2,905,979,0,0,1,1,1,3,117
org.mudebug.prapr.mutators.ArgumentsListMutator_20,911,979,0,0,1,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_20,913,979,0,0,2,2,2,11,117
org.mudebug.prapr.mutators.ArgumentsListMutator_21,927,979,0,0,1,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_21,929,979,0,0,2,2,2,11,117
org.mudebug.prapr.mutators.ArgumentsListMutator_22,943,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_22,945,979,0,0,1,1,1,2,117
org.mudebug.prapr.mutators.ArgumentsListMutator_23,950,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_23,952,979,0,0,1,1,1,2,117
org.mudebug.prapr.mutators.ArgumentsListMutator_3,957,979,0,0,1,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_3,959,979,0,0,1,1,1,3,117
org.mudebug.prapr.mutators.ArgumentsListMutator_4,965,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_4,967,979,0,0,1,1,1,2,117
org.mudebug.prapr.mutators.ArgumentsListMutator_5,972,979,0,0,0,1,1,0,100
org.mudebug.prapr.mutators.ArgumentsListMutator_5,974,979,0,0,1,1,1,2,117
