mutator, lineID, method index, bug method, f2p1, f2p2, f2p3, f2p4, p2f, linenumber
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_1,76,3517,0,0,1,1,1,76,175
org.mudebug.prapr.mutators.ArgumentsListMutator_10,154,3517,0,0,1,1,1,76,175
org.mudebug.prapr.mutators.ArgumentsListMutator_11,232,3517,0,0,1,1,1,76,175
org.mudebug.prapr.mutators.ArgumentsListMutator_12,310,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_13,385,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_14,460,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_15,535,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_16,610,3517,0,0,1,1,1,11,175
org.mudebug.prapr.mutators.ArgumentsListMutator_17,623,3517,0,0,1,1,1,11,175
org.mudebug.prapr.mutators.ArgumentsListMutator_18,636,3517,0,0,1,1,1,11,175
org.mudebug.prapr.mutators.ArgumentsListMutator_19,649,3517,0,0,1,1,1,11,175
org.mudebug.prapr.mutators.ArgumentsListMutator_2,662,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_20,737,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_21,812,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_22,887,3517,0,0,1,1,1,11,175
org.mudebug.prapr.mutators.ArgumentsListMutator_23,900,3517,0,0,1,1,1,11,175
org.mudebug.prapr.mutators.ArgumentsListMutator_3,913,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_4,988,3517,0,0,1,1,1,76,175
org.mudebug.prapr.mutators.ArgumentsListMutator_5,1066,3517,0,0,1,1,1,76,175
org.mudebug.prapr.mutators.ArgumentsListMutator_6,1144,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_7,1219,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_8,1294,3517,0,0,1,1,1,73,175
org.mudebug.prapr.mutators.ArgumentsListMutator_9,1369,3517,0,0,1,1,1,76,175
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1447,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1449,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1451,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1453,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1455,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_0,1457,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_1,1459,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_1,1461,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_1,1463,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_1,1465,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_1,1467,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_1,1469,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_10,1471,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_10,1473,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_10,1475,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_10,1477,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_10,1479,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_10,1481,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_11,1483,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_11,1485,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_11,1487,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_11,1489,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_11,1491,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_11,1493,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_12,1495,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_12,1497,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_12,1499,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_12,1501,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_12,1503,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_12,1505,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_13,1507,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_13,1509,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_13,1511,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_13,1513,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_13,1515,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_13,1517,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_14,1519,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_14,1521,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_14,1523,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_14,1525,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_14,1527,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_14,1529,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_15,1531,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_15,1533,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_15,1535,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_15,1537,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_15,1539,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_15,1541,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_16,1543,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_16,1545,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_16,1547,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_16,1549,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_17,1551,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_17,1553,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_17,1555,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_17,1557,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_18,1559,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_18,1561,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_18,1563,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_18,1565,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_19,1567,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_19,1569,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_19,1571,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_19,1573,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_2,1575,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_2,1577,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_2,1579,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_2,1581,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_2,1583,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_2,1585,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_20,1587,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_20,1589,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_20,1591,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_20,1593,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_20,1595,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_20,1597,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_21,1599,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_21,1601,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_21,1603,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_21,1605,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_21,1607,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_21,1609,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_22,1611,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_22,1613,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_22,1615,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_22,1617,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_23,1619,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_23,1621,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_23,1623,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_23,1625,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_3,1627,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_3,1629,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_3,1631,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_3,1633,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_3,1635,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_3,1637,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_4,1639,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_4,1641,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_4,1643,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_4,1645,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_4,1647,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_4,1649,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_5,1651,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_5,1653,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_5,1655,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_5,1657,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_5,1659,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_5,1661,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_6,1663,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_6,1665,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_6,1667,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_6,1669,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_6,1671,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_6,1673,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_7,1675,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_7,1677,3518,1,0,1,1,1,0,219
org.mudebug.prapr.mutators.ArgumentsListMutator_7,1679,3518,1,0,1,1,1,0,219
