com.google.javascript.jscomp.CommandLineRunner:createOptions()Lcom/google/javascript/jscomp/CompilerOptions; CleanFix
com.google.javascript.jscomp.JsMessageVisitor:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.DefaultPassConfig:getChecks()Ljava/util/List; NoisyFix
com.google.javascript.jscomp.Compiler:check()V NoisyFix
com.google.javascript.jscomp.Compiler:compileInternal()V NoisyFix
com.google.javascript.jscomp.JsMessageVisitor:isMessageName(Ljava/lang/String;Z)Z NoisyFix
com.google.javascript.jscomp.JsMessageVisitor:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.AbstractCommandLineRunner:createSourceInputs(Ljava/util/List;)Ljava/util/List; NoisyFix
com.google.javascript.jscomp.AbstractCommandLineRunner:doRun()I NoisyFix
com.google.javascript.jscomp.ClosureRewriteClass:maybeRewriteClassDefinition(Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.ControlStructureCheck:check(Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.JSModuleGraph:createEntryPointInputs(Lcom/google/javascript/jscomp/DependencyOptions;Ljava/util/List;Lcom/google/javascript/jscomp/deps/SortedDependencies;)Ljava/util/Collection; NoisyFix
com.google.javascript.jscomp.Compiler:parseInputs()Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.deps.SortedDependencies:<init>(Ljava/util/List;)V NoisyFix
com.google.javascript.jscomp.JSModuleGraph:manageDependencies(Lcom/google/javascript/jscomp/DependencyOptions;Ljava/util/List;)Ljava/util/List; NoisyFix
com.google.javascript.jscomp.deps.SortedDependencies:getDependenciesOf(Ljava/util/List;Z)Ljava/util/List; NoisyFix
com.google.javascript.jscomp.BasicErrorManager:report(Lcom/google/javascript/jscomp/CheckLevel;Lcom/google/javascript/jscomp/JSError;)V NoisyFix
com.google.javascript.jscomp.PhaseOptimizer:consume(Ljava/util/List;)V NoisyFix
com.google.javascript.jscomp.PhaseOptimizer:addOneTimePass(Lcom/google/javascript/jscomp/PassFactory;)V NoisyFix
com.google.javascript.jscomp.SuppressDocWarningsGuard:level(Lcom/google/javascript/jscomp/JSError;)Lcom/google/javascript/jscomp/CheckLevel; NoisyFix
com.google.javascript.jscomp.Compiler:report(Lcom/google/javascript/jscomp/JSError;)V NoisyFix
com.google.javascript.jscomp.DiagnosticGroup:matches(Lcom/google/javascript/jscomp/JSError;)Z NoisyFix
com.google.javascript.jscomp.DiagnosticGroupWarningsGuard:level(Lcom/google/javascript/jscomp/JSError;)Lcom/google/javascript/jscomp/CheckLevel; NoisyFix
com.google.javascript.jscomp.ControlFlowAnalysis:mayThrowException(Lcom/google/javascript/rhino/Node;)Z NoisyFix
com.google.javascript.jscomp.ControlFlowAnalysis:computeFollowNode(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/ControlFlowAnalysis;)Lcom/google/javascript/rhino/Node; NoisyFix
