com.google.javascript.jscomp.CompilationLevel:applySafeCompilationOptions(Lcom/google/javascript/jscomp/CompilerOptions;)V CleanFix
com.google.javascript.rhino.Node:checkTreeEquals(Lcom/google/javascript/rhino/Node;)Ljava/lang/String; NoisyFix
com.google.javascript.jscomp.CompilationLevel:setOptionsForCompilationLevel(Lcom/google/javascript/jscomp/CompilerOptions;)V NoisyFix
com.google.javascript.jscomp.CommandLineRunner:createOptions()Lcom/google/javascript/jscomp/CompilerOptions; NoisyFix
com.google.javascript.rhino.Node:checkTreeEqualsImpl(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node$NodeMismatch; NoisyFix
com.google.javascript.jscomp.Compiler:parseInputs()Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.JSSourceFile:getCode()Ljava/lang/String; NoisyFix
com.google.javascript.jscomp.SourceFile:getCode()Ljava/lang/String; NoisyFix
com.google.javascript.jscomp.JSSourceFile:fromCode(Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/jscomp/JSSourceFile; NoisyFix
com.google.javascript.jscomp.SourceFile$Preloaded:<init>(Ljava/lang/String;Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:fromCode(Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/jscomp/SourceFile; NoisyFix
com.google.javascript.jscomp.SourceFile:getName()Ljava/lang/String; NoisyFix
com.google.javascript.jscomp.SourceFile:setCode(Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:setOriginalPath(Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher:processAstRoot(Lcom/google/javascript/jscomp/mozilla/rhino/ast/AstRoot;)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher:parseDirectives(Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.rhino.Node:addChildToBack(Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.rhino.Node:propToString(I)Ljava/lang/String; NoneFix
com.google.javascript.rhino.Token:name(I)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.CommandLineRunner$Flags$BooleanOptionHandler:parseArguments(Lorg/kohsuke/args4j/spi/Parameters;)I NoneFix
com.google.javascript.jscomp.ProcessClosurePrimitives$ProvidedName:updateMinimumModule(Lcom/google/javascript/jscomp/JSModule;)V NoneFix
com.google.javascript.jscomp.CollapseVariableDeclarations$ExploitAssigns:isCollapsibleValue(Lcom/google/javascript/rhino/Node;Z)Z NoneFix
com.google.javascript.jscomp.CollapseVariableDeclarations$GatherCollapses:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CollapseVariableDeclarations$ExploitAssigns:collapseAssign(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.CollapseVariableDeclarations$ExploitAssigns:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.NodeUtil:checkForStateChangeHelper(Lcom/google/javascript/rhino/Node;Z)Z NoneFix
com.google.javascript.jscomp.RemoveUnusedVars:markReferencedVar(Lcom/google/javascript/jscomp/Scope$Var;)V NoneFix
com.google.javascript.jscomp.RemoveUnusedVars:traverseNode(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/Scope;)V NoneFix
com.google.javascript.jscomp.WarningLevel:setOptionsForWarningLevel(Lcom/google/javascript/jscomp/CompilerOptions;)V NoneFix
com.google.javascript.rhino.TokenStream:stringToKeyword(Ljava/lang/String;)I NoneFix
com.google.javascript.jscomp.DefaultPassConfig$43:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.GoogleCodeRemoval$FindAbstractMethods:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.InlineVariables$IdentifyLocals:apply(Lcom/google/javascript/jscomp/Scope$Var;)Z NoneFix
com.google.javascript.jscomp.NodeUtil:isPrototypePropertyDeclaration(Lcom/google/javascript/rhino/Node;)Z NoneFix
com.google.javascript.jscomp.DefaultPassConfig$22:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.CommandLineRunner:initConfigFromFlags([Ljava/lang/String;Ljava/io/PrintStream;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$71:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig:getOptimizations()Ljava/util/List; NoneFix
com.google.javascript.jscomp.InlineVariables:getFilterForMode()Lcom/google/common/base/Predicate; NoneFix
com.google.javascript.jscomp.CoalesceVariableNames:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DeadAssignmentsElimination:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.DefaultPassConfig$1:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$47:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$53:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$57:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$58:createInternal(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/jscomp/CompilerPass; NoneFix
com.google.javascript.jscomp.DefaultPassConfig$73$1:<init>(Lcom/google/javascript/jscomp/DefaultPassConfig$73;Lcom/google/javascript/jscomp/AbstractCompiler;Lcom/google/javascript/jscomp/VariableMap;)V NoneFix
