com.google.javascript.jscomp.CheckSideEffects:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V CleanFix
com.google.javascript.rhino.Node$AncestorIterable$1:next()Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.SourceFile$Builder:buildFromCode(Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/jscomp/SourceFile; NoisyFix
com.google.javascript.jscomp.SourceFile$Preloaded:<init>(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:builder()Lcom/google/javascript/jscomp/SourceFile$Builder; NoisyFix
com.google.javascript.jscomp.SourceFile:fromCode(Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/jscomp/SourceFile; NoisyFix
com.google.javascript.jscomp.SourceFile:<init>(Ljava/lang/String;)V NoisyFix
com.google.javascript.rhino.Token:name(I)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.CheckSideEffects:addExtern()V NoneFix
com.google.javascript.jscomp.CheckSideEffects:protectSideEffects()V NoneFix
com.google.javascript.jscomp.NodeUtil:precedence(I)I NoneFix
com.google.javascript.rhino.JSDocInfoBuilder:recordNoAlias()Z NoneFix
com.google.javascript.rhino.JSDocInfo:setNoAlias(Z)V NoneFix
com.google.javascript.rhino.JSDocInfo:isNoAlias()Z NoneFix
com.google.javascript.rhino.Node:addChildrenAfter(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.NodeUtil:opToStr(I)Ljava/lang/String; NoneFix
com.google.javascript.jscomp.CodeGenerator:add(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/CodeGenerator$Context;)V NoneFix
com.google.javascript.rhino.Node$NumberNode:isEquivalentTo(Lcom/google/javascript/rhino/Node;ZZ)Z NoneFix
com.google.javascript.jscomp.Compiler:getSynthesizedExternsInput()Lcom/google/javascript/jscomp/CompilerInput; NoneFix
com.google.javascript.rhino.Node:addChildrenToBack(Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.jscomp.Compiler:newExternInput(Ljava/lang/String;)Lcom/google/javascript/jscomp/CompilerInput; NoneFix
com.google.javascript.jscomp.SyntheticAst:<init>(Ljava/lang/String;)V NoneFix
com.google.javascript.jscomp.SyntheticAst:clearAst()V NoneFix
com.google.javascript.jscomp.SyntheticAst:getAstRoot(Lcom/google/javascript/jscomp/AbstractCompiler;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.jscomp.SyntheticAst:getInputId()Lcom/google/javascript/rhino/InputId; NoneFix
com.google.javascript.jscomp.SyntheticAst:getSourceFile()Lcom/google/javascript/jscomp/SourceFile; NoneFix
com.google.javascript.jscomp.NodeUtil:checkForStateChangeHelper(Lcom/google/javascript/rhino/Node;ZLcom/google/javascript/jscomp/AbstractCompiler;)Z NoneFix
com.google.javascript.jscomp.parsing.IRFactory:transformBlock(Lcom/google/javascript/rhino/head/ast/AstNode;)Lcom/google/javascript/rhino/Node; NoneFix
com.google.javascript.rhino.Node:setWasEmptyNode(Z)V NoneFix
com.google.javascript.jscomp.NodeTraversal:makeError(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/jscomp/CheckLevel;Lcom/google/javascript/jscomp/DiagnosticType;[Ljava/lang/String;)Lcom/google/javascript/jscomp/JSError; NoneFix
com.google.javascript.jscomp.CheckSideEffects:process(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoneFix
com.google.javascript.rhino.IR:call(Lcom/google/javascript/rhino/Node;[Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoneFix
