com.google.javascript.jscomp.DefaultPassConfig:getCodeRemovingPasses()Ljava/util/List; CleanFix
com.google.javascript.rhino.Node:checkTreeEquals(Lcom/google/javascript/rhino/Node;)Ljava/lang/String; NoisyFix
com.google.javascript.rhino.Node:checkTreeEqualsImpl(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node$NodeMismatch; NoisyFix
com.google.javascript.jscomp.NodeUtil:getPureBooleanValue(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/jstype/TernaryValue; NoisyFix
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:maybeReplaceChildWithNumber(Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;I)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:tryMinimizeCondition(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.PeepholeOptimizationsPass:visit(Lcom/google/javascript/jscomp/NodeTraversal;Lcom/google/javascript/rhino/Node;Lcom/google/javascript/rhino/Node;)V NoisyFix
com.google.javascript.jscomp.PhaseOptimizer$LoopInternal:optimizePasses()V NoisyFix
com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax:optimizeSubtree(Lcom/google/javascript/rhino/Node;)Lcom/google/javascript/rhino/Node; NoisyFix
com.google.javascript.jscomp.JSSourceFile:<init>(Lcom/google/javascript/jscomp/SourceFile;)V NoisyFix
com.google.javascript.jscomp.JSSourceFile:fromCode(Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/jscomp/JSSourceFile; NoisyFix
com.google.javascript.jscomp.SourceFile$Preloaded:<init>(Ljava/lang/String;Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:fromCode(Ljava/lang/String;Ljava/lang/String;)Lcom/google/javascript/jscomp/SourceFile; NoisyFix
com.google.javascript.jscomp.SourceFile:setCode(Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:setOriginalPath(Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:<init>(Ljava/lang/String;)V NoisyFix
com.google.javascript.jscomp.SourceFile:getName()Ljava/lang/String; NoisyFix
com.google.javascript.rhino.Node$NumberNode:isEquivalentTo(Lcom/google/javascript/rhino/Node;ZZ)Z NoisyFix
com.google.javascript.rhino.Node:isEquivalentTo(Lcom/google/javascript/rhino/Node;)Z NoisyFix
com.google.javascript.jscomp.Compiler:parseInputs()Lcom/google/javascript/rhino/Node; NoisyFix
