org.mockito.internal.util.CreationValidator:validateExtraInterfaces(Ljava/lang/Class;[Ljava/lang/Class;)V CleanFix
org.mockito.internal.creation.MockSettingsImpl:serializable()Lorg/mockito/MockSettings; NoneFix
org.mockito.internal.creation.MockSettingsImpl:extraInterfaces([Ljava/lang/Class;)Lorg/mockito/MockSettings; NoneFix
org.mockito.internal.util.MockName:toInstanceName(Ljava/lang/Class;)Ljava/lang/String; NoneFix
org.mockito.internal.creation.jmock.ClassImposterizer:createProxyClass(Ljava/lang/Class;[Ljava/lang/Class;)Ljava/lang/Class; NoneFix
org.mockito.Mockito:mock(Ljava/lang/Class;Lorg/mockito/MockSettings;)Ljava/lang/Object; NoneFix
org.mockito.internal.MockHandler:<init>(Lorg/mockito/internal/creation/MockSettingsImpl;)V NoneFix
org.mockito.internal.creation.MockSettingsImpl:initiateMockName(Ljava/lang/Class;)V NoneFix
org.mockito.internal.creation.cglib.CGLIBHacker:<init>()V NoneFix
org.mockito.internal.invocation.MatchersBinder:<init>()V NoneFix
org.mockito.internal.stubbing.InvocationContainerImpl:<init>(Lorg/mockito/internal/progress/MockingProgress;)V NoneFix
org.mockito.internal.util.MockUtil:createMock(Ljava/lang/Class;Lorg/mockito/internal/creation/MockSettingsImpl;)Ljava/lang/Object; NoneFix
org.mockito.internal.MockitoCore:mock(Ljava/lang/Class;Lorg/mockito/MockSettings;)Ljava/lang/Object; NoneFix
org.mockito.internal.creation.MockSettingsImpl:getSpiedInstance()Ljava/lang/Object; NoneFix
org.mockito.internal.progress.ThreadSafeMockingProgress:resetOngoingStubbing()V NoneFix
org.mockito.internal.util.CreationValidator:validateType(Ljava/lang/Class;)V NoneFix
org.mockito.internal.creation.MockSettingsImpl:getExtraInterfaces()[Ljava/lang/Class; NoneFix
org.mockito.internal.progress.MockingProgressImpl:resetOngoingStubbing()V NoneFix
org.mockito.Mockito:withSettings()Lorg/mockito/MockSettings; NoneFix
org.mockito.internal.creation.jmock.ClassImposterizer:canImposterise(Ljava/lang/Class;)Z NoneFix
org.mockito.internal.creation.jmock.ClassImposterizer$3:<init>(Lorg/mockito/internal/creation/jmock/ClassImposterizer;)V NoneFix
org.mockito.internal.creation.jmock.ClassImposterizer:createProxy(Ljava/lang/Class;Lorg/mockito/cglib/proxy/MethodInterceptor;)Ljava/lang/Object; NoneFix
org.mockito.internal.creation.jmock.ClassImposterizer:imposterise(Lorg/mockito/cglib/proxy/MethodInterceptor;Ljava/lang/Class;[Ljava/lang/Class;)Ljava/lang/Object; NoneFix
org.mockito.internal.creation.jmock.ClassImposterizer:setConstructorsAccessible(Ljava/lang/Class;Z)V NoneFix
org.mockito.internal.creation.jmock.SearchingClassLoader:addIfNewElement(Ljava/util/List;Ljava/lang/ClassLoader;)V NoneFix
org.mockito.internal.creation.jmock.SearchingClassLoader:combine(Ljava/util/List;)Ljava/lang/ClassLoader; NoneFix
org.mockito.internal.creation.jmock.SearchingClassLoader:combineLoadersOf(Ljava/lang/Class;[Ljava/lang/Class;)Ljava/lang/ClassLoader; NoneFix
org.mockito.internal.creation.jmock.SearchingClassLoader:combineLoadersOf([Ljava/lang/Class;)Ljava/lang/ClassLoader; NoneFix
org.mockito.internal.util.ObjectMethodsGuru:<init>()V NoneFix
org.mockito.internal.creation.MockSettingsImpl:<init>()V NoneFix
org.mockito.MockitoAnnotations:scan(Ljava/lang/Object;Ljava/lang/Class;)V NoneFix
org.mockito.MockitoAnnotations:initMocks(Ljava/lang/Object;)V NoneFix
org.mockito.internal.configuration.DefaultAnnotationEngine:<init>()V NoneFix
org.mockito.internal.configuration.GlobalConfiguration:<init>()V NoneFix
org.mockito.internal.configuration.GlobalConfiguration:getAnnotationEngine()Lorg/mockito/configuration/AnnotationEngine; NoneFix
org.mockito.internal.configuration.GlobalConfiguration:getIt()Lorg/mockito/configuration/IMockitoConfiguration; NoneFix
org.mockito.internal.configuration.GlobalConfiguration:validate()V NoneFix
org.mockito.internal.progress.ArgumentMatcherStorageImpl:validateState()V NoneFix
org.mockito.internal.progress.MockingProgressImpl:getArgumentMatcherStorage()Lorg/mockito/internal/progress/ArgumentMatcherStorage; NoneFix
org.mockito.internal.progress.MockingProgressImpl:validateState()V NoneFix
org.mockito.internal.progress.ThreadSafeMockingProgress:<init>()V NoneFix
org.mockito.internal.progress.ThreadSafeMockingProgress:threadSafely()Lorg/mockito/internal/progress/MockingProgress; NoneFix
org.mockito.internal.progress.ThreadSafeMockingProgress:validateState()V NoneFix
org.mockito.internal.util.MockName:<init>(Ljava/lang/String;Ljava/lang/Class;)V NegFix
org.mockito.internal.creation.jmock.ClassImposterizer:prepend(Ljava/lang/Class;[Ljava/lang/Class;)[Ljava/lang/Class; NegFix
org.mockito.internal.util.CreationValidator:validateMockedType(Ljava/lang/Class;Ljava/lang/Object;)V NegFix
org.mockito.internal.creation.MethodInterceptorFilter:<init>(Lorg/mockito/internal/MockitoInvocationHandler;Lorg/mockito/internal/creation/MockSettingsImpl;)V NegFix
org.mockito.internal.verification.RegisteredInvocations:<init>()V NegFix
org.mockito.internal.creation.MockSettingsImpl:defaultAnswer(Lorg/mockito/stubbing/Answer;)Lorg/mockito/MockSettings; NegFix
