org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId:parseInto(Lorg/joda/time/format/DateTimeParserBucket;Ljava/lang/String;I)I CleanFix
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId:estimateParsedLength()I NoneFix
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId:printTo(Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;ILorg/joda/time/DateTimeZone;Ljava/util/Locale;)V NoneFix
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId:estimatePrintedLength()I NoneFix
org.joda.time.format.DateTimeFormatterBuilder:appendTimeZoneId()Lorg/joda/time/format/DateTimeFormatterBuilder; NoneFix
org.joda.time.format.DateTimeParserBucket:setZone(Lorg/joda/time/DateTimeZone;)V NoneFix
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone:getOffset(J)I NoneFix
org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone:nextTransition(J)J NoneFix
org.joda.time.tz.DateTimeZoneBuilder$OfYear:readFrom(Ljava/io/DataInput;)Lorg/joda/time/tz/DateTimeZoneBuilder$OfYear; NoneFix
org.joda.time.tz.ZoneInfoProvider:getZone(Ljava/lang/String;)Lorg/joda/time/DateTimeZone; NoneFix
org.joda.time.tz.ZoneInfoProvider:loadZoneData(Ljava/lang/String;)Lorg/joda/time/DateTimeZone; NoneFix
org.joda.time.tz.ZoneInfoProvider:openResource(Ljava/lang/String;)Ljava/io/InputStream; NoneFix
org.joda.time.format.DateTimeFormatter:parseDateTime(Ljava/lang/String;)Lorg/joda/time/DateTime; NoneFix
org.joda.time.tz.DateTimeZoneBuilder$OfYear:<init>(CIIIZI)V NoneFix
org.joda.time.tz.CachedDateTimeZone:<init>(Lorg/joda/time/DateTimeZone;)V NoneFix
org.joda.time.tz.CachedDateTimeZone:forZone(Lorg/joda/time/DateTimeZone;)Lorg/joda/time/tz/CachedDateTimeZone; NoneFix
org.joda.time.chrono.ISOChronology:<init>(Lorg/joda/time/Chronology;)V NoneFix
org.joda.time.chrono.ISOChronology:assemble(Lorg/joda/time/chrono/AssembledChronology$Fields;)V NoneFix
org.joda.time.chrono.ISOChronology:getInstance(Lorg/joda/time/DateTimeZone;)Lorg/joda/time/chrono/ISOChronology; NoneFix
org.joda.time.format.DateTimeFormat:parsePatternTo(Lorg/joda/time/format/DateTimeFormatterBuilder;Ljava/lang/String;)V NoneFix
org.joda.time.format.DateTimeFormat:isNumericToken(Ljava/lang/String;)Z NoneFix
org.joda.time.DateTimeZone:<init>(Ljava/lang/String;)V NoneFix
org.joda.time.chrono.BasicMonthOfYearDateTimeField:getLeapDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.BasicWeekyearDateTimeField:getLeapDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.BasicYearDateTimeField:getLeapDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.chrono.GJEraDateTimeField:getDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.field.ZeroIsMaxDateTimeField:getLeapDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.field.PreciseDurationField:hashCode()I NoneFix
org.joda.time.field.RemainderDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NoneFix
org.joda.time.field.ScaledDurationField:hashCode()I NoneFix
org.joda.time.chrono.ZonedChronology:<init>(Lorg/joda/time/Chronology;Lorg/joda/time/DateTimeZone;)V NoneFix
org.joda.time.field.DecoratedDateTimeField:getRangeDurationField()Lorg/joda/time/DurationField; NoneFix
