org.apache.commons.lang3.time.FastDateFormat:format(Ljava/util/Date;)Ljava/lang/String; CleanFix
org.apache.commons.lang3.time.FastDateFormat$TwoDigitNumberField:appendTo(Ljava/lang/StringBuffer;Ljava/util/Calendar;)V NoisyFix
org.apache.commons.lang3.time.FastDateFormat:parsePattern()Ljava/util/List; NoneFix
org.apache.commons.lang3.time.FastDateFormat$StringLiteral:appendTo(Ljava/lang/StringBuffer;Ljava/util/Calendar;)V NoneFix
org.apache.commons.lang3.time.FastDateFormat$TextField:appendTo(Ljava/lang/StringBuffer;Ljava/util/Calendar;)V NoneFix
org.apache.commons.lang3.time.FastDateFormat$StringLiteral:<init>(Ljava/lang/String;)V NoneFix
org.apache.commons.lang3.time.FastDateFormat$StringLiteral:estimateLength()I NoneFix
org.apache.commons.lang3.time.FastDateFormat$TextField:<init>(I[Ljava/lang/String;)V NoneFix
org.apache.commons.lang3.time.FastDateFormat$TextField:estimateLength()I NoneFix
org.apache.commons.lang3.time.FastDateFormat:parseToken(Ljava/lang/String;[I)Ljava/lang/String; NoneFix
org.apache.commons.lang3.time.FastDateFormat:<init>(Ljava/lang/String;Ljava/util/TimeZone;Ljava/util/Locale;)V NoneFix
org.apache.commons.lang3.time.FastDateFormat$TwoDigitNumberField:estimateLength()I NoneFix
org.apache.commons.lang3.time.FastDateFormat:selectNumberRule(II)Lorg/apache/commons/lang3/time/FastDateFormat$NumberRule; NoneFix
org.apache.commons.lang3.time.FastDateFormat:getInstance(Ljava/lang/String;Ljava/util/TimeZone;Ljava/util/Locale;)Lorg/apache/commons/lang3/time/FastDateFormat; NoneFix
org.apache.commons.lang3.time.FastDateFormat:init()V NoneFix
org.apache.commons.lang3.time.FastDateFormat:hashCode()I NoneFix
org.apache.commons.lang3.time.FastDateFormat$TwoDigitNumberField:appendTo(Ljava/lang/StringBuffer;I)V NoneFix
org.apache.commons.lang3.time.FastDateFormat:applyRules(Ljava/util/Calendar;Ljava/lang/StringBuffer;)Ljava/lang/StringBuffer; NoneFix
org.apache.commons.lang3.time.FastDateFormat:getInstance(Ljava/lang/String;Ljava/util/Locale;)Lorg/apache/commons/lang3/time/FastDateFormat; NegFix
org.apache.commons.lang3.time.FastDateFormat$TwoDigitNumberField:<init>(I)V NegFix
