org.apache.commons.math.linear.ArrayRealVector:getLInfNorm()D CleanFix
org.apache.commons.math.linear.AbstractRealVector:getL1Norm()D NoneFix
org.apache.commons.math.linear.AbstractRealVector:getNorm()D NoneFix
org.apache.commons.math.linear.ArrayRealVector:getL1Norm()D NoneFix
org.apache.commons.math.linear.OpenMapRealVector:getLInfNorm()D NoneFix
org.apache.commons.math.linear.OpenMapRealVector$OpenMapEntry:getValue()D NoneFix
org.apache.commons.math.linear.OpenMapRealVector$OpenMapSparseIterator:<init>(Lorg/apache/commons/math/linear/OpenMapRealVector;)V NoneFix
org.apache.commons.math.linear.OpenMapRealVector$OpenMapSparseIterator:hasNext()Z NoneFix
org.apache.commons.math.linear.OpenMapRealVector$OpenMapSparseIterator:next()Lorg/apache/commons/math/linear/RealVector$Entry; NoneFix
org.apache.commons.math.linear.RealVector$Entry:<init>()V NoneFix
org.apache.commons.math.linear.OpenMapRealVector:<init>([DD)V NoneFix
org.apache.commons.math.linear.OpenMapRealVector:isDefaultValue(D)Z NoneFix
org.apache.commons.math.linear.ArrayRealVector:getNorm()D NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator:advance()V NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator:hasNext()Z NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator:value()D NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:access$400(Lorg/apache/commons/math/util/OpenIntToDoubleHashMap;)[B NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator:<init>(Lorg/apache/commons/math/util/OpenIntToDoubleHashMap;)V NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap$Iterator:<init>(Lorg/apache/commons/math/util/OpenIntToDoubleHashMap;Lorg/apache/commons/math/util/OpenIntToDoubleHashMap$1;)V NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:<init>(D)V NoneFix
org.apache.commons.math.linear.AbstractRealVector:<init>()V NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:computeCapacity(I)I NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:findInsertionIndex(I)I NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:findInsertionIndex([I[BII)I NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:put(ID)D NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:shouldGrowTable()Z NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:<init>(ID)V NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:hashOf(I)I NoneFix
org.apache.commons.math.linear.ArrayRealVector:<init>([D)V NoneFix
org.apache.commons.math.linear.OpenMapRealVector:access$000(Lorg/apache/commons/math/linear/OpenMapRealVector;)Lorg/apache/commons/math/util/OpenIntToDoubleHashMap; NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:access$100(Lorg/apache/commons/math/util/OpenIntToDoubleHashMap;)I NoneFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:access$300(Lorg/apache/commons/math/util/OpenIntToDoubleHashMap;)[D NoneFix
org.apache.commons.math.linear.OpenMapRealVector$OpenMapEntry:<init>(Lorg/apache/commons/math/linear/OpenMapRealVector;Lorg/apache/commons/math/util/OpenIntToDoubleHashMap$Iterator;)V NegFix
org.apache.commons.math.linear.OpenMapRealVector:sparseIterator()Ljava/util/Iterator; NegFix
org.apache.commons.math.linear.OpenMapRealVector:<init>([D)V NegFix
org.apache.commons.math.util.OpenIntToDoubleHashMap:iterator()Lorg/apache/commons/math/util/OpenIntToDoubleHashMap$Iterator; NegFix
