org.joda.time.LocalDateTime:equals(Ljava/lang/Object;)Z CleanFix
org.joda.time.LocalDate:fromCalendarFields(Ljava/util/Calendar;)Lorg/joda/time/LocalDate; NoisyFix
org.joda.time.LocalDateTime:fromCalendarFields(Ljava/util/Calendar;)Lorg/joda/time/LocalDateTime; NoisyFix
org.joda.time.LocalDate:equals(Ljava/lang/Object;)Z NoisyFix
org.joda.time.LocalDateTime:<init>(IIIIIIILorg/joda/time/Chronology;)V NoisyFix
org.joda.time.LocalDate:<init>(IIILorg/joda/time/Chronology;)V NoisyFix
org.joda.time.chrono.GregorianChronology:calculateFirstDayOfYearMillis(I)J NoisyFix
org.joda.time.chrono.BasicChronology:getDateTimeMillis(IIII)J NoisyFix
org.joda.time.chrono.BasicChronology:getDateMidnightMillis(III)J NoisyFix
org.joda.time.chrono.GregorianChronology:isLeapYear(I)Z NoisyFix
org.joda.time.chrono.BasicChronology:getDateTimeMillis(IIIIIII)J NoisyFix
org.joda.time.LocalDateTime:toString()Ljava/lang/String; NoneFix
org.joda.time.LocalDate:toString()Ljava/lang/String; NoneFix
org.joda.time.LocalDateTime:isSupported(Lorg/joda/time/DateTimeFieldType;)Z NoneFix
org.joda.time.format.FormatUtils:appendPaddedInteger(Ljava/lang/StringBuffer;II)V NoneFix
org.joda.time.field.PreciseDurationDateTimeField:remainder(J)J NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Fraction:printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;Ljava/util/Locale;)V NoneFix
org.joda.time.LocalDate:get(Lorg/joda/time/DateTimeFieldType;)I NoneFix
org.joda.time.LocalDateTime:get(Lorg/joda/time/DateTimeFieldType;)I NoneFix
org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset:printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;Ljava/util/Locale;)V NoneFix
org.joda.time.chrono.BasicChronology:getYear(J)I NoneFix
org.joda.time.LocalDateTime:getValue(I)I NoneFix
org.joda.time.LocalDate:isSupported(Lorg/joda/time/DateTimeFieldType;)Z NoneFix
org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral:printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;Ljava/util/Locale;)V NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Composite:printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;Ljava/util/Locale;)V NoneFix
org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber:printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;Ljava/util/Locale;)V NoneFix
org.joda.time.format.DateTimeFormatter:print(Lorg/joda/time/ReadablePartial;)Ljava/lang/String; NoneFix
org.joda.time.format.DateTimeFormatter:printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;)V NoneFix
org.joda.time.LocalDate:fromDateFields(Ljava/util/Date;)Lorg/joda/time/LocalDate; NoneFix
org.joda.time.LocalDateTime:fromDateFields(Ljava/util/Date;)Lorg/joda/time/LocalDateTime; NoneFix
org.joda.time.LocalDateTime:getField(ILorg/joda/time/Chronology;)Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.DateTimeFieldType$StandardDateTimeFieldType:getField(Lorg/joda/time/Chronology;)Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.BaseChronology:set(Lorg/joda/time/ReadablePartial;J)J NoneFix
org.joda.time.LocalDate:<init>(III)V NoneFix
org.joda.time.LocalDateTime:<init>(IIIIIII)V NoneFix
org.joda.time.chrono.ISOChronology:equals(Ljava/lang/Object;)Z NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Fraction:printTo(Ljava/lang/StringBuffer;Ljava/io/Writer;JLorg/joda/time/Chronology;)V NoneFix
org.joda.time.chrono.AssembledChronology:getDateTimeMillis(IIII)J NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Composite:estimatePrintedLength()I NoneFix
org.joda.time.base.AbstractPartial:getFieldType(I)Lorg/joda/time/DateTimeFieldType; NoneFix
org.joda.time.format.DateTimeFormatterBuilder$Fraction:getFractionData(JLorg/joda/time/DateTimeField;)[J NoneFix
org.joda.time.format.DateTimeFormatter:requirePrinter()Lorg/joda/time/format/DateTimePrinter; NoneFix
org.joda.time.base.BaseLocal:<init>()V NoneFix
org.joda.time.LocalDate:getLocalMillis()J NoneFix
org.joda.time.field.PreciseDateTimeField:get(J)I NoneFix
org.joda.time.LocalDate:getChronology()Lorg/joda/time/Chronology; NoneFix
org.joda.time.LocalDateTime:getLocalMillis()J NoneFix
org.joda.time.LocalDateTime:getChronology()Lorg/joda/time/Chronology; NoneFix
org.joda.time.chrono.BasicChronology:getMonthOfYear(J)I NoneFix
org.joda.time.chrono.BasicMonthOfYearDateTimeField:get(J)I NoneFix
org.joda.time.chrono.BasicGJChronology:getDaysInYearMonth(II)I NoneFix
org.joda.time.chrono.BasicChronology:getMaxMonth(I)I NoneFix
org.joda.time.base.AbstractPartial:<init>()V NoneFix
org.joda.time.chrono.BasicChronology:getDayOfMonth(J)I NoneFix
org.joda.time.format.ISODateTimeFormat:dateTime()Lorg/joda/time/format/DateTimeFormatter; NoneFix
org.joda.time.chrono.BasicGJChronology:getTotalMillisByYearMonth(II)J NoneFix
org.joda.time.chrono.BasicChronology$YearInfo:<init>(IJ)V NoneFix
org.joda.time.chrono.BasicChronology:getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo; NoneFix
org.joda.time.DateTimeFieldType$StandardDateTimeFieldType:getDurationType()Lorg/joda/time/DurationFieldType; NoneFix
org.joda.time.chrono.BasicDayOfMonthDateTimeField:get(J)I NoneFix
org.joda.time.chrono.BasicChronology:getDayOfMonth(JII)I NoneFix
org.joda.time.chrono.BasicChronology:getYearMonthDayMillis(III)J NoneFix
org.joda.time.chrono.BasicYearDateTimeField:get(J)I NoneFix
org.joda.time.chrono.BasicGJChronology:getMonthOfYear(JI)I NoneFix
org.joda.time.chrono.BasicChronology:getYearMillis(I)J NoneFix
org.joda.time.chrono.AssembledChronology:year()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:getBase()Lorg/joda/time/Chronology; NoneFix
org.joda.time.chrono.AssembledChronology:dayOfMonth()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:monthOfYear()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:secondOfDay()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.field.PreciseDurationField:getUnitMillis()J NoneFix
org.joda.time.DateTimeUtils:setCurrentMillisFixed(J)V NoneFix
org.joda.time.DateTimeUtils:checkPermission()V NoneFix
org.joda.time.DateTimeUtils:setCurrentMillisSystem()V NoneFix
org.joda.time.chrono.BasicGJChronology:getDaysInMonthMaxForSet(JI)I NoneFix
org.joda.time.chrono.BasicDayOfMonthDateTimeField:getMaximumValueForSet(JI)I NoneFix
org.joda.time.chrono.BasicChronology:getDayOfMonth(JI)I NoneFix
org.joda.time.chrono.BasicMonthOfYearDateTimeField:set(JI)J NoneFix
org.joda.time.field.PreciseDurationDateTimeField:set(JI)J NoneFix
org.joda.time.chrono.BasicYearDateTimeField:set(JI)J NoneFix
org.joda.time.chrono.BasicGJChronology:setYear(JI)J NoneFix
org.joda.time.chrono.AssembledChronology:millisOfDay()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:getDateTimeMillis(IIIIIII)J NoneFix
org.joda.time.chrono.BasicChronology:getDayOfYear(JI)I NoneFix
org.joda.time.field.PreciseDateTimeField:set(JI)J NoneFix
org.joda.time.chrono.AssembledChronology:minuteOfHour()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.chrono.AssembledChronology:hourOfDay()Lorg/joda/time/DateTimeField; NoneFix
org.joda.time.field.PreciseDateTimeField:getMaximumValue()I NoneFix
org.joda.time.format.ISODateTimeFormat:date()Lorg/joda/time/format/DateTimeFormatter; NegFix
org.joda.time.format.ISODateTimeFormat:yearMonthDay()Lorg/joda/time/format/DateTimeFormatter; NoneFix
org.joda.time.LocalDateTime:size()I NegFix
org.joda.time.field.BaseDateTimeField:isSupported()Z NegFix
org.joda.time.chrono.BasicChronology:getMillisOfDay(J)I NegFix
org.joda.time.DurationFieldType$StandardDurationFieldType:hashCode()I NegFix
org.joda.time.chrono.ISOChronology:getInstanceUTC()Lorg/joda/time/chrono/ISOChronology; NegFix
org.joda.time.chrono.BasicChronology:getMaxMonth()I NegFix
org.joda.time.DateTimeFieldType:millisOfDay()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.field.FieldUtils:verifyValueBounds(Lorg/joda/time/DateTimeFieldType;III)V NegFix
org.joda.time.DateTimeFieldType:dayOfMonth()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.chrono.GregorianChronology:getApproxMillisAtEpochDividedByTwo()J NegFix
org.joda.time.chrono.GregorianChronology:getAverageMillisPerYearDividedByTwo()J NegFix
org.joda.time.chrono.GregorianChronology:getMinYear()I NegFix
org.joda.time.chrono.GregorianChronology:getMaxYear()I NegFix
org.joda.time.DateTimeFieldType:monthOfYear()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.DateTimeFieldType:year()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.chrono.ISOChronology:withUTC()Lorg/joda/time/Chronology; NegFix
org.joda.time.field.BaseDateTimeField:getType()Lorg/joda/time/DateTimeFieldType; NegFix
org.joda.time.DateTimeUtils:getChronology(Lorg/joda/time/Chronology;)Lorg/joda/time/Chronology; NegFix
org.joda.time.DateTimeUtils$FixedMillisProvider:<init>(J)V NegFix
