org.apache.commons.math3.optimization.direct.CMAESOptimizer:<init>()V CleanFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:doOptimize()Lorg/apache/commons/math3/optimization/PointValuePair; NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:initializeCMA([D)V NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction:value([D)D NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:checkParameters()V NoisyFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:optimize(ILorg/apache/commons/math3/analysis/MultivariateFunction;Lorg/apache/commons/math3/optimization/GoalType;[D[D[D)Lorg/apache/commons/math3/optimization/PointValuePair; NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:copyColumn(Lorg/apache/commons/math3/linear/RealMatrix;ILorg/apache/commons/math3/linear/RealMatrix;I)V NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:max(Lorg/apache/commons/math3/linear/RealMatrix;)D NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:randn1(II)Lorg/apache/commons/math3/linear/RealMatrix; NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:repmat(Lorg/apache/commons/math3/linear/RealMatrix;II)Lorg/apache/commons/math3/linear/RealMatrix; NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:sortedIndices([D)[I NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:times(Lorg/apache/commons/math3/linear/RealMatrix;Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; NoisyFix
org.apache.commons.math3.linear.AbstractRealMatrix:add(Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; NoisyFix
org.apache.commons.math3.linear.AbstractRealMatrix:scalarMultiply(D)Lorg/apache/commons/math3/linear/RealMatrix; NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:<init>(I[DIDZIILorg/apache/commons/math3/random/RandomGenerator;Z)V NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:<init>(I[DIDZIILorg/apache/commons/math3/random/RandomGenerator;ZLorg/apache/commons/math3/optimization/ConvergenceChecker;)V NoisyFix
org.apache.commons.math3.linear.AbstractRealMatrix:getColumn(I)[D NoisyFix
org.apache.commons.math3.random.BitsStreamGenerator:nextGaussian()D NoisyFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateOptimizer:computeObjectiveValue([D)D NoisyFix
org.apache.commons.math3.random.MersenneTwister:next(I)I NoisyFix
org.apache.commons.math3.linear.AbstractRealMatrix:subtract(Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; NoisyFix
org.apache.commons.math3.linear.AbstractRealMatrix:multiply(Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; NoisyFix
org.apache.commons.math3.util.FastMath$CodyWaite:<init>(DD)V NoisyFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:setEntry(IID)V NoisyFix
org.apache.commons.math3.linear.Array2DRowRealMatrix:getEntry(II)D NoisyFix
org.apache.commons.math3.util.FastMath:log(D[D)D NoisyFix
org.apache.commons.math3.util.FastMath:sinQ(DD)D NoisyFix
org.apache.commons.math3.util.FastMath:polyCosine(D)D NoisyFix
org.apache.commons.math3.util.FastMath:log(D)D NoisyFix
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateSimpleBoundsOptimizer:optimize(ILorg/apache/commons/math3/analysis/MultivariateFunction;Lorg/apache/commons/math3/optimization/GoalType;[D)Lorg/apache/commons/math3/optimization/PointValuePair; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:updateCovariance(ZLorg/apache/commons/math3/linear/RealMatrix;Lorg/apache/commons/math3/linear/RealMatrix;[ILorg/apache/commons/math3/linear/RealMatrix;)V NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:<init>(I)V NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction:decode([D)[D NoisyFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction:encode([D)[D NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction:penalty([D[D)D NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction:repair([D)[D NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:divide(Lorg/apache/commons/math3/linear/RealMatrix;Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:inverse([I)[I NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:reverse([I)[I NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:sumRows(Lorg/apache/commons/math3/linear/RealMatrix;)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:triu(Lorg/apache/commons/math3/linear/RealMatrix;I)Lorg/apache/commons/math3/linear/RealMatrix; NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:updateBD(D)V NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$DoubleIndex:compareTo(Lorg/apache/commons/math3/optimization/direct/CMAESOptimizer$DoubleIndex;)I NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction:<init>(Lorg/apache/commons/math3/optimization/direct/CMAESOptimizer;)V NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction:repairAndDecode([D)[D NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer$FitnessFunction:setValueRange(D)V NoneFix
org.apache.commons.math3.optimization.direct.CMAESOptimizer:access$200(Lorg/apache/commons/math3/optimization/direct/CMAESOptimizer;)Z NoneFix
