org.apache.commons.math.util.MultidimensionalCounter:getDimension()I NoisyFix
org.apache.commons.math.util.MultidimensionalCounter$Iterator:hasNext()Z NoneFix
org.apache.commons.math.util.MultidimensionalCounter$Iterator:next()Ljava/lang/Integer; NoneFix
org.apache.commons.math.util.MultidimensionalCounter:getCounts(I)[I NoneFix
org.apache.commons.math.util.MultidimensionalCounter:getSize()I NoneFix
org.apache.commons.math.util.MultidimensionalCounter$Iterator:<init>(Lorg/apache/commons/math/util/MultidimensionalCounter;)V NoneFix
org.apache.commons.math.util.MultidimensionalCounter$Iterator:getCount(I)I NoneFix
org.apache.commons.math.util.MultidimensionalCounter:getCount([I)I NoneFix
org.apache.commons.math.util.MultidimensionalCounter:<init>([I)V NoneFix
org.apache.commons.math.util.MathUtils:copyOf([I)[I NoneFix
org.apache.commons.math.util.FastMath:min(II)I NoneFix
org.apache.commons.math.util.MultidimensionalCounter:access$000(Lorg/apache/commons/math/util/MultidimensionalCounter;)I NoneFix
org.apache.commons.math.util.MultidimensionalCounter:access$100(Lorg/apache/commons/math/util/MultidimensionalCounter;)I NoneFix
org.apache.commons.math.util.MultidimensionalCounter:access$200(Lorg/apache/commons/math/util/MultidimensionalCounter;)[I NoneFix
org.apache.commons.math.util.MultidimensionalCounter:iterator()Lorg/apache/commons/math/util/MultidimensionalCounter$Iterator; NegFix
org.apache.commons.math.util.MathUtils:copyOf([II)[I NegFix
