jGenProg,85,149,171,5.48,6.79,
GenProg-A,77,154,174,5.53,6.81,
jMutRepair,84,145,169,5.55,6.85,
kPar,96,152,172,5.39,6.72,
RSRepair-A,86,152,175,5.42,6.74,
jKali,89,151,172,5.43,6.7,
Kali-A,92,149,172,5.53,6.82,
Dynamoth,88,144,169,5.57,6.84,
ACS,76,143,168,5.65,6.92,
Cardumen,84,150,170,5.48,6.78,
Arja,73,152,173,5.52,6.79,
Simfix,100,152,170,5.55,6.97,
FixMiner,94,151,169,5.41,6.75,
AVATAR,96,152,173,5.21,6.55,
TBar,96,153,173,5.22,6.56,
PraPR,103,165,183,4.67,5.98,
SBFL,75,144,169,5.63,6.9,
ACS,76,143,168,5.65,6.92,
ACS,119,220,263,18.09,23.81,
