<Format = Top1 Top3 Top5 MFR MAR from Tool(s)>
49 69 71 71 72 73 2.013699 2.038813 from PraPR
2 2 2 2 2 2 1.000000 1.000000 from ACS
20 21 21 21 21 21 1.047619 1.047619 from Simfix
14 15 15 15 15 15 1.066667 1.066667 from Dynamoth
8 9 9 9 9 9 1.111111 1.111111 from Nopol
57 63 63 63 63 63 1.111111 1.134921 from TBarFixer
34 36 37 37 37 37 1.135135 1.135135 from AvatarFixer
19 21 22 22 22 22 1.272727 1.272727 from FixMiner
38 42 42 42 42 42 1.119048 1.119048 from kParFixer
20 28 30 30 31 31 1.967742 2.075269 from KaliA
28 43 46 49 49 49 1.959184 2.098639 from RSRepair
34 44 45 46 46 46 1.413043 1.456522 from jGenProg
25 32 32 32 32 32 1.312500 1.312500 from jMutRepair
25 32 32 32 32 32 1.281250 1.312500 from jKali
26 36 36 36 36 36 1.305556 1.305556 from Cardumen
23 41 47 49 51 51 2.529412 2.633987 from Arja
21 38 39 41 42 42 2.166667 2.293651 from GenProgA
0 0 0 0 0 0 0.000000 0.000000 from SBFL
